,MAE,RMSE,R,Lag
2014/15,2.376,3.773,0.813,-1.0
2015/16,3.326,4.712,0.82,9.0
2016/17,1.556,2.014,0.918,-12.0
2017/18,3.346,5.35,0.946,15.0
Average,2.651,3.962,0.874,9.0
