,ATTENTION_14_2014/17_0,ATTENTION_14_2014/17_1,ATTENTION_14_2014/17_2,ATTENTION_14_2014/17_3,ATTENTION_14_2014/17_4,ATTENTION_14_2014/17_5,ATTENTION_14_2014/17_6,ATTENTION_14_2014/17_7,ATTENTION_14_2014/17_8,ATTENTION_14_2014/17_9
MAE,2.090674887581822,2.169095132473082,6.068436606807438,6.068436606807438,1.957987785755738,1.777552967197925,2.2182886098640933,4.3418435707554695,1.8370467282567884,2.387807454224311
RMSE,2.793887908418405,3.0215635595227113,7.87815873799707,7.87815873799707,2.7260397295619567,2.2151706223745466,2.934931613758001,5.610983735128898,2.654233422677074,3.1767959708818396
R,0.8613733400225022,0.8065687438668199,,,0.8726989851135594,0.9134094564662832,0.8158620602908043,0.8256550299147446,0.8695023139441357,0.8404351851131896
