,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,81.732480701091,4.297026634216309,81.73247528076172,8.097978591918945,61.788064852152786,6.65097188949585,61.788063049316406,6.923457622528076
1,52.693410410748925,3.70707631111145,52.69340515136719,6.704077243804932,7.0149588008653625,1.764992117881775,7.01495885848999,1.923904299736023
2,38.277184952896846,3.269238233566284,38.27717971801758,5.78945255279541,8.573609661892668,2.049224376678467,8.5736083984375,2.315272092819214
3,29.156697793331194,2.926210880279541,29.156696319580078,5.04727029800415,7.3388836217253175,1.9613646268844604,7.338883876800537,2.2897298336029053
4,22.149931193719283,2.619683027267456,22.149930953979492,4.375911712646484,4.198183743921045,1.6196866035461426,4.198183536529541,1.9197771549224854
5,18.829109633899755,2.4524941444396973,18.829111099243164,4.061163902282715,6.247342469267649,1.7678591012954712,6.247342109680176,2.1420345306396484
6,15.679564979034346,2.326728105545044,15.679566383361816,3.707815647125244,26.518967166992084,3.8053300380706787,26.518966674804688,4.153840065002441
7,14.556297201353598,2.268155813217163,14.556293487548828,3.5885140895843506,4.237682963070804,1.4622282981872559,4.237683296203613,1.7419105768203735
8,12.792507128871659,2.1566598415374756,12.792506217956543,3.398013114929199,3.9710104315248254,1.5562304258346558,3.971010208129883,1.8174148797988892
9,11.215937209669828,2.0653750896453857,11.215937614440918,3.1839640140533447,3.4938986649251964,1.396060585975647,3.493898868560791,1.6429766416549683
10,10.601717438926023,2.011448621749878,10.601716041564941,3.102999210357666,9.856446194812044,2.329033136367798,9.856446266174316,2.6290993690490723
11,9.660703027758851,1.952001929283142,9.6607027053833,2.9902303218841553,6.072934846763742,1.8053826093673706,6.072934627532959,2.1270384788513184
12,8.974557328884789,1.893967866897583,8.974555969238281,2.8956971168518066,3.5320904331664518,1.4366092681884766,3.532090663909912,1.6885851621627808
13,8.204944981135409,1.859776258468628,8.20494556427002,2.7486186027526855,3.341614176720789,1.3774455785751343,3.341614246368408,1.6332522630691528
14,7.989403348005088,1.8230364322662354,7.989402770996094,2.737316608428955,7.392316147317625,1.9345816373825073,7.392315864562988,2.223513126373291
15,7.209220291925618,1.7592703104019165,7.2092204093933105,2.604712963104248,3.4488015279377975,1.4105833768844604,3.4488017559051514,1.665533185005188
16,7.099165867437944,1.742291808128357,7.099165439605713,2.555985689163208,4.3471672165067226,1.5805164575576782,4.347167491912842,1.8286000490188599
17,6.73496092765097,1.7060562372207642,6.734960556030273,2.5183355808258057,4.150729441642762,1.507227897644043,4.150729656219482,1.7859498262405396
18,6.602835571615762,1.678097128868103,6.602833271026611,2.465583324432373,3.718630364496414,1.4213957786560059,3.7186310291290283,1.7141870260238647
19,6.07483229589102,1.6094961166381836,6.074831485748291,2.371541738510132,3.503441359898815,1.4164150953292847,3.503441333770752,1.6781890392303467
20,5.883138601245448,1.6103131771087646,5.883138656616211,2.3477401733398438,3.139880723496006,1.3562004566192627,3.139880895614624,1.5992523431777954
21,5.660207008054335,1.5825484991073608,5.660207271575928,2.298509359359741,3.6775004958453246,1.430680751800537,3.6775004863739014,1.6977075338363647
22,5.578918348211485,1.560139775276184,5.578917026519775,2.2875170707702637,4.817380405125553,1.656575083732605,4.817380428314209,1.9468849897384644
23,5.240007919508504,1.5432647466659546,5.2400078773498535,2.2224950790405273,3.5540771820773815,1.3835506439208984,3.5540771484375,1.6707770824432373
24,5.267895252578505,1.5242141485214233,5.267895221710205,2.2248599529266357,2.936110288966192,1.2762917280197144,2.936110496520996,1.5153104066848755
25,4.864121195891642,1.5010440349578857,4.8641204833984375,2.1538989543914795,3.9137795546283463,1.466566801071167,3.9137794971466064,1.7112892866134644
26,4.814156673296873,1.4799582958221436,4.8141584396362305,2.1437737941741943,4.395827708179003,1.5869401693344116,4.395827293395996,1.9187132120132446
27,4.737669585633938,1.4653857946395874,4.737669467926025,2.112677812576294,3.49823077917099,1.3679382801055908,3.4982309341430664,1.6670159101486206
28,4.753228990136827,1.441075086593628,4.753230094909668,2.112243413925171,3.2639261787884855,1.3418056964874268,3.263925790786743,1.5992504358291626
29,4.570851067391691,1.4405725002288818,4.570850849151611,2.073875665664673,3.0617316496698823,1.2908684015274048,3.0617315769195557,1.5418668985366821
30,4.500125756852272,1.4305696487426758,4.500126838684082,2.066483974456787,3.563362979399015,1.398928165435791,3.5633630752563477,1.6893612146377563
31,4.216866343688004,1.401854395866394,4.2168660163879395,2.0097694396972656,3.1649996283119672,1.305660367012024,3.1649999618530273,1.5709736347198486
32,4.0176396608953215,1.35512375831604,4.017640113830566,1.9500141143798828,3.0270693427895847,1.2651034593582153,3.027069568634033,1.5296975374221802
