,Fold1,Fold2,Fold3,Fold4
loss,2.5347343844495636,2.4628084310550937,1.8315635070779157,1.9967435444754613
mae,2.5347325801849365,2.4628076553344727,1.831563949584961,1.9967437982559204
mse,62.722999572753906,61.45106506347656,26.051170349121094,61.44158172607422
rmse,4.7072343826293945,4.588377475738525,3.16327166557312,3.5644495487213135
pearson,0.9290716648101807,0.9297128319740295,,0.9500808715820312
val_loss,1.750220150737972,2.0673088713868024,1.3749749624467158,3.2336606232674567
val_mae,1.7502201795578003,2.0673091411590576,1.3749750852584839,3.2336604595184326
val_mse,7.212038993835449,9.378195762634277,4.732616901397705,39.96417999267578
val_rmse,1.8048990964889526,2.134718894958496,1.4164702892303467,3.299517869949341
val_pearson,0.2093576192855835,0.1787274181842804,0.09695138037204742,0.06632925570011139
