,MAE,RMSE,R,Lag
2014/15,2.302,3.223,0.885,-21.0
2015/16,2.333,3.437,0.857,-55.0
2016/17,1.598,2.454,0.879,-17.0
2017/18,4.069,7.67,0.943,16.0
Average,2.575,4.196,0.891,27.0
