,MAE,RMSE,R,Lag
2014/15,1.596,2.718,0.902,2.0
2015/16,1.784,3.268,0.891,-26.0
2016/17,1.573,2.516,0.886,-9.0
2017/18,3.679,8.171,0.926,-6.0
Average,2.158,4.168,0.901,11.0
