,MAE,RMSE,R,Lag
2014/15,10.661,12.341,-0.784,187.0
2015/16,6.269,9.056,0.534,33.0
2016/17,5.084,7.115,0.772,-23.0
2017/18,11.511,18.282,0.614,16.0
Average,8.381,11.698,0.284,65.0
