,loss,mae,mse,rmse
0,6.063872632732483,6.063873767852783,159.25479125976562,11.998320579528809
1,4.2189419610073795,4.2189412117004395,108.6312026977539,9.925456047058105
2,3.95173251325062,3.9517323970794678,97.07105255126953,9.405452728271484
3,3.7683530869942374,3.7683537006378174,90.3946304321289,8.98895263671875
4,3.614673196021096,3.614673376083374,85.68485260009766,8.58940601348877
5,3.480931668398268,3.480931520462036,80.7114028930664,8.544344902038574
6,3.3606503953724354,3.360650062561035,75.73684692382812,7.983992576599121
7,3.258979759461766,3.258979320526123,72.03731536865234,8.13620376586914
8,3.1635465579233837,3.1635468006134033,68.8373031616211,7.777781963348389
9,3.079936422665192,3.0799367427825928,65.5628433227539,7.749584674835205
10,3.006415652230085,3.006415367126465,62.93890380859375,7.39756441116333
11,2.92677165148627,2.926771879196167,59.87007522583008,7.4192705154418945
12,2.853807210079985,2.853806972503662,57.69548416137695,7.1538801193237305
13,2.7860514936560246,2.7860515117645264,55.12923812866211,7.071776866912842
14,2.7246605853615704,2.724660634994507,53.31649398803711,6.965362548828125
15,2.667655920819926,2.6676557064056396,51.6357536315918,6.6860270500183105
16,2.613779730337183,2.6137797832489014,50.169925689697266,6.613523960113525
17,2.564695404901247,2.5646955966949463,48.527896881103516,6.4023590087890625
18,2.5142285852699366,2.514228343963623,47.22596740722656,6.243728160858154
19,2.464023990460246,2.4640235900878906,45.6491813659668,6.350566387176514
20,2.4244602852748436,2.424459934234619,44.70091247558594,6.259524345397949
21,2.388727308372461,2.3887274265289307,43.620216369628906,6.181173801422119
22,2.35514255951307,2.355142831802368,42.930152893066406,6.066534996032715
23,2.3199739630343243,2.319974184036255,41.830909729003906,6.0261712074279785
24,2.2893190844143816,2.2893192768096924,41.15528869628906,6.056005954742432
25,2.2595528737782167,2.2595529556274414,40.296485900878906,5.906079292297363
26,2.2300849159709015,2.2300846576690674,39.632877349853516,5.8475470542907715
27,2.2042543272042017,2.204254388809204,38.61756134033203,5.833682537078857
28,2.1767843608269026,2.1767842769622803,37.998130798339844,5.745160102844238
29,2.152556842666306,2.152556896209717,37.21328353881836,5.613206386566162
30,2.1318998569615584,2.131899833679199,36.618255615234375,5.542178153991699
31,2.1132455968868844,2.113245725631714,36.15205764770508,5.626616954803467
32,2.0916556020953756,2.0916554927825928,35.63628005981445,5.521743297576904
33,2.0733159908645535,2.0733158588409424,34.99263000488281,5.525122165679932
34,2.056861911251964,2.0568618774414062,34.421043395996094,5.682021617889404
35,2.039349170697328,2.039349317550659,33.90463638305664,5.522391319274902
36,2.0221772680010663,2.022177219390869,33.353355407714844,5.477474212646484
37,2.007123775353433,2.0071237087249756,32.709991455078125,5.3914690017700195
38,1.991107216995532,1.9911072254180908,32.25095748901367,5.447978496551514
39,1.977037494392549,1.9770374298095703,31.88861656188965,5.283261775970459
40,1.9671704503222303,1.9671704769134521,31.568058013916016,5.235753536224365
41,1.9532670019372618,1.9532668590545654,31.197917938232422,5.154802322387695
42,1.9393734499086432,1.939373254776001,30.74608612060547,5.2721333503723145
43,1.9298240988055413,1.9298242330551147,30.481136322021484,5.079701900482178
44,1.9197470788970128,1.91974675655365,30.051313400268555,5.175962924957275
45,1.9055897344280728,1.9055898189544678,29.694028854370117,5.072480201721191
46,1.8983145420701102,1.8983147144317627,29.3450984954834,5.0796332359313965
47,1.8852841672709637,1.8852840662002563,29.205495834350586,5.0074992179870605
48,1.8747441845050883,1.8747442960739136,28.84415054321289,5.0651350021362305
49,1.8639992203581313,1.8639992475509644,28.468517303466797,4.964057445526123
50,1.8531172367890556,1.8531169891357422,28.2412166595459,4.913984775543213
51,1.844894254415167,1.8448941707611084,27.805940628051758,4.858989238739014
52,1.833011910195246,1.8330119848251343,27.5703182220459,4.877971172332764
53,1.8279133388679074,1.8279132843017578,27.317785263061523,4.88229513168335
54,1.8171845848079646,1.817184567451477,27.1097354888916,4.935372352600098
55,1.8066358805123888,1.806636095046997,26.71588706970215,4.759609699249268
56,1.8010779260656553,1.801077961921692,26.773866653442383,4.832782745361328
57,1.7919733483112132,1.7919734716415405,26.35282325744629,4.759988784790039
58,1.7823223767183118,1.782322645187378,26.100934982299805,4.575588226318359
59,1.776652789344518,1.7766530513763428,25.951162338256836,4.847978591918945
60,1.767542632426874,1.7675427198410034,25.67987632751465,4.729767799377441
61,1.7593520650832364,1.7593520879745483,25.430435180664062,4.774564743041992
62,1.7531041288327727,1.7531042098999023,25.302776336669922,4.68593692779541
63,1.7486903111260255,1.7486906051635742,25.14760971069336,4.746460437774658
64,1.74131285052332,1.7413129806518555,25.0107421875,4.5380377769470215
65,1.7323882486553708,1.7323882579803467,24.983877182006836,4.701307773590088
66,1.7266651276774458,1.7266650199890137,24.809804916381836,4.672908782958984
67,1.7196007938719506,1.7196009159088135,24.5495662689209,4.552220821380615
68,1.7129166429764149,1.7129164934158325,24.464778900146484,4.505914688110352
69,1.7065955805351358,1.7065954208374023,24.124488830566406,4.520531177520752
70,1.7014018144686958,1.701401948928833,24.117115020751953,4.498995780944824
71,1.6984987958585136,1.6984988451004028,24.063037872314453,4.5920515060424805
72,1.6892920942460532,1.6892919540405273,23.74764633178711,4.402163505554199
73,1.684842538508748,1.6848424673080444,23.603282928466797,4.529261589050293
74,1.679141679196354,1.679141640663147,23.43316650390625,4.510853290557861
75,1.672207812272687,1.6722079515457153,23.339384078979492,4.509175777435303
76,1.66631716019031,1.666317105293274,23.194501876831055,4.478478908538818
77,1.660607101698882,1.6606069803237915,23.05451774597168,4.416962146759033
78,1.6566880855962178,1.6566879749298096,22.85959815979004,4.437763214111328
79,1.6467672252847545,1.646767020225525,22.71092987060547,4.512967586517334
80,1.6431756731298515,1.643175482749939,22.73125648498535,4.438657760620117
81,1.638371737262621,1.638371467590332,22.472434997558594,4.524536609649658
82,1.6341241469986054,1.6341240406036377,22.30226707458496,4.3371429443359375
83,1.628161612617046,1.6281616687774658,22.21734619140625,4.454507827758789
84,1.6228568130390169,1.6228567361831665,22.08927345275879,4.417686939239502
85,1.6172624853503785,1.6172622442245483,21.925617218017578,4.463017463684082
86,1.6093716625008594,1.6093716621398926,21.785396575927734,4.296352386474609
87,1.6088377337789042,1.6088379621505737,21.75907325744629,4.3337507247924805
88,1.602627683371689,1.6026276350021362,21.47972297668457,4.290647983551025
89,1.5978995870827968,1.5978994369506836,21.38971710205078,4.2079081535339355
90,1.5890732960901928,1.5890734195709229,21.24034309387207,4.264614105224609
91,1.5880508122346693,1.5880509614944458,21.088687896728516,4.39896297454834
92,1.5834478028278414,1.5834479331970215,21.012136459350586,4.274984359741211
93,1.5811402750472483,1.5811400413513184,20.896778106689453,4.114309787750244
94,1.5728870646507789,1.5728870630264282,20.751718521118164,4.185622215270996
95,1.5707646973831557,1.5707645416259766,20.670656204223633,4.139467716217041
96,1.5674365500804603,1.5674368143081665,20.626218795776367,4.167359828948975
97,1.562609322228096,1.5626094341278076,20.447525024414062,4.229416847229004
98,1.5570870951633997,1.5570873022079468,20.365402221679688,4.188645362854004
99,1.558024315740194,1.558024287223816,20.25810432434082,4.127512454986572
