,loss,mae,mse,rmse
0,145.0313945610091,4.564784049987793,145.0314178466797,9.942763328552246
1,100.57537099938953,3.4664549827575684,100.57537078857422,8.259625434875488
2,77.37932338711656,2.999051809310913,77.37931060791016,7.194258689880371
3,55.88702752686607,2.693645715713501,55.88701629638672,6.168487548828125
4,42.02448368101953,2.4835102558135986,42.02448272705078,5.3690571784973145
5,30.672060774520208,2.2111897468566895,30.672054290771484,4.505575656890869
6,27.33175277754126,2.1583988666534424,27.331750869750977,4.284028053283691
7,20.578494587074132,1.948089599609375,20.5784969329834,3.720945119857788
8,19.113867298656498,1.910322666168213,19.113862991333008,3.6433451175689697
9,16.7655278705233,1.7982642650604248,16.765527725219727,3.4171247482299805
10,15.50098334833883,1.774516224861145,15.50098991394043,3.3160715103149414
11,12.846069075289094,1.6826246976852417,12.846073150634766,3.0580832958221436
12,12.83458058106822,1.6663388013839722,12.834580421447754,3.0802714824676514
13,12.690361932237488,1.6718345880508423,12.690362930297852,3.05861759185791
14,11.21467740780853,1.6256507635116577,11.214679718017578,2.969679832458496
15,10.185653904846841,1.6010549068450928,10.185652732849121,2.8323659896850586
16,9.232278814357016,1.52112877368927,9.232280731201172,2.7187185287475586
17,8.531899731517685,1.4322506189346313,8.531900405883789,2.559575319290161
18,8.518853642389193,1.5300041437149048,8.518855094909668,2.6098437309265137
19,7.513872726385371,1.3980027437210083,7.5138726234436035,2.4551892280578613
20,8.667265740174061,1.4115244150161743,8.667265892028809,2.565110921859741
21,6.5535347646458275,1.3305909633636475,6.553534030914307,2.2631239891052246
22,6.343218399293999,1.3642736673355103,6.343217372894287,2.285263776779175
23,6.786845321087014,1.3565654754638672,6.786847114562988,2.3036983013153076
24,5.400375722403436,1.288598656654358,5.400376796722412,2.1276166439056396
25,5.545187108197967,1.2395963668823242,5.5451884269714355,2.1423115730285645
26,5.522308425058292,1.2905597686767578,5.522308826446533,2.1257784366607666
27,5.060729071162077,1.2101812362670898,5.060727119445801,2.0506677627563477
28,4.421431443984952,1.1851370334625244,4.421432018280029,1.9687267541885376
29,4.72310634033295,1.1953203678131104,4.72310733795166,1.9735872745513916
30,4.186901381811488,1.1230472326278687,4.1869001388549805,1.863205075263977
31,4.370986985733348,1.1454633474349976,4.3709869384765625,1.918267846107483
32,4.807521370098376,1.18135666847229,4.807519912719727,1.9885962009429932
33,4.068338306423469,1.1409262418746948,4.068338394165039,1.882700800895691
34,4.361800222935666,1.2240558862686157,4.361801624298096,1.9666060209274292
35,3.8284816493329976,1.1259212493896484,3.828481674194336,1.8183788061141968
36,4.265702243718367,1.102921485900879,4.265702247619629,1.8570976257324219
37,4.194876921990287,1.103435754776001,4.194877624511719,1.8471472263336182
38,3.904930988481362,1.098272442817688,3.904930591583252,1.8100577592849731
39,3.7495248008561965,1.084423542022705,3.7495250701904297,1.7818995714187622
40,3.3947794405204643,1.0482934713363647,3.3947789669036865,1.6972428560256958
41,3.5970126333594434,1.07496976852417,3.5970113277435303,1.7552485466003418
42,3.563047274537718,1.0644526481628418,3.563047409057617,1.7427345514297485
43,3.3447802786696066,1.0146839618682861,3.344780206680298,1.6473162174224854
44,3.4295627723398234,1.0478973388671875,3.429563283920288,1.7317668199539185
45,3.2616130016806246,1.0020712614059448,3.261613130569458,1.6700665950775146
46,2.7998879195069337,0.9407253861427307,2.7998876571655273,1.5442078113555908
47,3.293297633744935,0.9755630493164062,3.2932980060577393,1.6546196937561035
48,2.9988945077031657,0.9535655975341797,2.9988954067230225,1.587010383605957
49,2.8674915086048993,0.9985631108283997,2.8674917221069336,1.58123779296875
50,2.7182046381475455,0.9891296625137329,2.718205213546753,1.5402556657791138
51,3.031173568111984,0.9495242238044739,3.0311732292175293,1.60099196434021
52,2.791794528634359,0.9429893493652344,2.7917943000793457,1.54047429561615
53,2.62955041636873,0.9052836894989014,2.6295504570007324,1.4821908473968506
54,2.621902583667841,0.9016910195350647,2.6219024658203125,1.4985647201538086
55,2.9802611155729304,0.9614872932434082,2.9802615642547607,1.57341468334198
56,3.026416925137777,0.9524057507514954,3.026416540145874,1.5676249265670776
57,2.715657248858428,0.9523130655288696,2.7156577110290527,1.5400617122650146
58,2.6174311944642676,0.9195038676261902,2.6174309253692627,1.5140266418457031
59,2.5471888368753195,0.921248733997345,2.5471887588500977,1.4877591133117676
60,2.487985441238654,0.8897987604141235,2.487985849380493,1.4666714668273926
61,2.4124675513270755,0.8893769383430481,2.4124677181243896,1.4324214458465576
62,2.0630387157965457,0.8655480742454529,2.0630388259887695,1.360768437385559
63,2.540605703707498,0.8820698857307434,2.5406062602996826,1.4647125005722046
64,2.3827870512641702,0.900320291519165,2.382786989212036,1.4491956233978271
65,2.052796309856987,0.8436476588249207,2.0527961254119873,1.337931752204895
66,2.293999016781801,0.8909146785736084,2.293999195098877,1.4261728525161743
67,2.4983011879240813,0.8798053860664368,2.4983012676239014,1.4600465297698975
68,2.078766484362139,0.8413558602333069,2.078766345977783,1.3442970514297485
