,MAE,RMSE,R,Lag
2014/15,2.031,2.919,0.944,5.0
2015/16,2.69,3.365,0.884,-60.0
2016/17,1.911,2.382,0.912,-12.0
2017/18,3.931,6.807,0.978,12.0
Average,2.641,3.868,0.93,22.0
