,MAE,RMSE,R,Lag
2014/15,7.941,10.026,,-137.0
2015/16,2.586,3.718,0.868,26.0
2016/17,2.238,2.896,0.892,-11.0
2017/18,11.202,18.15,,-140.0
Average,5.992,8.697,,78.0
