,MAE,RMSE,R,Lag
2014/15,1.57,2.459,0.96,-3.0
2015/16,1.784,2.695,0.917,4.0
2016/17,1.186,1.671,0.946,-25.0
2017/18,3.386,5.053,0.973,8.0
Average,1.981,2.97,0.949,10.0
