,MAE,RMSE,R,Lag
2014/15,1.86,2.532,0.916,6.0
2015/16,2.236,3.238,0.875,-54.0
2016/17,1.891,2.478,0.879,-18.0
2017/18,4.265,6.932,0.955,16.0
Average,2.563,3.795,0.906,24.0
