,2014/15_9,2015/16_9,2016/17_9,2017/18_9
MAE,1.20689668433556,2.15804780559814,1.63357435668956,3.38209161940465
RMSE,2.15924599692059,3.10486324324306,2.0552815603231,6.19982192648021
R,0.942477728383352,0.885795475379593,0.916612051388463,0.958481228449305
