,Fold1,Fold2,Fold3,Fold4
loss,2.365201372140127,1.6264609569249933,2.132079421137346,1.5443642968728788
mae,2.365201950073242,1.626461148262024,2.132079601287842,1.5443642139434814
mse,60.50790786743164,30.063852310180664,41.88815689086914,23.707008361816406
rmse,4.446358680725098,2.9273362159729004,3.8301327228546143,2.7291488647460938
pearson,0.9392414689064026,0.9702489972114563,,0.9700166583061218
val_loss,1.793673309323552,1.941022591884822,1.4845102006917472,2.8512487968245703
val_mae,1.7936736345291138,1.941022515296936,1.4845101833343506,2.8512485027313232
val_mse,8.441847801208496,7.947481155395508,4.477919578552246,31.176942825317383
val_rmse,1.8399680852890015,2.0171422958374023,1.531041145324707,2.95640230178833
val_pearson,0.27384087443351746,0.2165290117263794,0.07008380442857742,0.24197007715702057
