,Fold1,Fold2,Fold3,Fold4
loss,2.2473680581333757,1.6479536575838292,1.3808928014169444,1.253270005926758
mae,2.2473676204681396,1.6479530334472656,1.3808931112289429,1.2532707452774048
mse,47.41386032104492,21.9438419342041,17.32776641845703,10.651433944702148
rmse,4.72165584564209,3.329343557357788,2.7134053707122803,2.335970401763916
pearson,0.9405918717384338,0.9651678800582886,,0.9777427911758423
val_loss,1.6139586721802806,1.711570575629195,1.276902431315118,3.152562302547497
val_mae,1.613958716392517,1.7115706205368042,1.2769025564193726,3.152562379837036
val_mse,6.921026706695557,6.98234748840332,3.418910503387451,39.81551742553711
val_rmse,1.7720545530319214,1.9286164045333862,1.3796545267105103,3.583472490310669
val_pearson,0.20284567773342133,0.08715339004993439,0.3488295078277588,0.2309936285018921
