,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2,2016/17_2,2017/18_2,2014/15_3,2015/16_3,2016/17_3,2017/18_3,2014/15_4
MAE,10.179213816788318,6.5991454997476,5.090816041190012,11.318537777352095,10.218316302523439,6.417211319067051,5.168533633481648,11.09446629910037,10.174344037619575,6.327238098726744,5.358481336279991,11.186841106177756,10.247245108880627
RMSE,11.878754651992699,9.356249048346452,7.149153404304332,18.225046715683646,11.911066197776092,9.203904536689302,7.205668169806068,18.049433344443546,11.875475062292526,9.121165914187467,7.344400448242319,18.14417455191145,11.935963360462702
R,-0.35615816995322624,0.4808969551716219,0.37099465932748593,-0.4862666791366095,0.16771013131748766,0.5240313800704226,0.5452849637654827,0.777074262996842,-0.6091949047908538,-0.24258239058549164,0.08725797668376704,-0.3018226515136786,-0.1615345545826338
Lag,149.0,-66.0,-62.0,-104.0,163.0,30.0,-51.0,16.0,149.0,-117.0,9.0,123.0,107.0
