,GRU_7_2014/15,GRU_7_2014/16,GRU_7_2014/17,GRU_7_2014/18,GRU_14_2014/15,GRU_14_2014/16,GRU_14_2014/17,GRU_14_2014/18
MAE,1.1413621536640317,1.3140808849344217,2.0654702764696986,3.1368667535199264,1.5967910506809133,1.7031367908159727,1.9689277957033704,3.817264579070881
RMSE,1.868503420813165,1.749107152538107,2.8316123353590275,6.058383109323702,2.6634362340388598,2.666602132989972,2.7229286226782388,7.217525195516296
R,0.9601017031087316,0.9671826593414174,0.9249641381648043,0.9826967441638392,0.905789462113062,0.9294024967723746,0.8940137324712149,0.9614572721639475
