,MAE,RMSE,R,Lag
2014/15,2.518,3.411,0.84,-1.0
2015/16,3.114,4.102,0.824,11.0
2016/17,2.09,2.416,0.913,-18.0
2017/18,3.854,5.811,0.947,15.0
Average,2.894,3.935,0.881,11.0
