,GRU_14_2014/17_0,GRU_14_2014/17_1,GRU_14_2014/17_2,GRU_14_2014/17_3,GRU_14_2014/17_4,GRU_14_2014/17_5,GRU_14_2014/17_6,GRU_14_2014/17_7,GRU_14_2014/17_8,GRU_14_2014/17_9
MAE,3.4672262080049996,1.9532853035540931,1.756195551926243,2.445484661537088,2.696794005722094,6.068436606807438,1.8812413526470495,1.8766830164107622,2.24109497156373,2.2024532119444142
RMSE,4.23001141093548,2.9988215518519947,2.5724869458655397,3.471623294236063,3.764640647797157,7.87815873799707,2.454927036647136,2.5630719066401033,2.782348412228474,2.670758999562825
R,0.8589731982342275,0.8963985266819134,0.9088917019032485,0.8345500930908442,0.8346745743202669,,0.8732110448742301,0.8723009442279888,0.8766408910439383,0.8737943310404096
