,MAE,RMSE,R,Lag
2014/15,10.473,12.175,-0.843,187.0
2015/16,6.253,9.033,0.811,9.0
2016/17,5.444,7.435,-0.701,202.0
2017/18,11.471,18.282,0.594,16.0
Average,8.41,11.731,-0.035,104.0
