,MAE,RMSE,R,Lag
2014/15,2.732,3.864,0.827,-1.0
2015/16,2.912,4.662,0.829,12.0
2016/17,1.608,1.983,0.931,-11.0
2017/18,4.321,7.835,0.913,16.0
Average,2.893,4.586,0.875,10.0
