,MAE,RMSE,R,Lag
2014/15,2.121,3.242,0.863,9.0
2015/16,2.259,3.754,0.891,10.0
2016/17,1.664,2.708,0.896,-17.0
2017/18,4.102,7.981,0.954,12.0
Average,2.537,4.421,0.901,12.0
