,2014/15_0,2015/16_0,2016/17_0,2017/18_0,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2,2016/17_2,2017/18_2,2014/15_3,2015/16_3,2016/17_3,2017/18_3
MAE,1.736645613420328,1.4987259858622466,1.7120755905007388,3.933106281925196,1.5536945736075691,2.443548510401713,1.5082756603142644,3.9803666857067297,1.5667260907285867,1.6144867568223564,1.8005344884282066,3.6481507745123687,1.3912752418893581,1.9491827401787545,1.8639119391213874,3.9598002310222435
RMSE,2.930189007630166,2.2979347977388707,2.5471573446278737,7.383044491203997,2.783512793792198,4.147701226156678,2.1942995690328644,7.432985186116088,2.867817740344148,2.3462738688718083,2.8844619726452927,6.4469306645164135,2.441000117368113,3.145520870302327,3.0561060780167617,7.817060426902963
R,0.9038214590322134,0.9467626542028678,0.9168443886530939,0.9479269792733515,0.9168857163146946,0.9200345820533934,0.915339206013814,0.9516515256941801,0.9203487023722925,0.9389489053894494,0.9230868543983487,0.9524340724086793,0.9223734618737661,0.9426842335204063,0.9060361655817503,0.9449452060638103
