,MAE,RMSE,R,Lag
2014/15,1.817,2.776,0.931,-2.0
2015/16,1.855,3.077,0.903,-41.0
2016/17,1.208,1.696,0.95,-10.0
2017/18,4.448,7.91,0.951,8.0
Average,2.332,3.865,0.933,15.0
