,ATTENTION_14_2014/17_100_0,ATTENTION_14_2014/17_0,ATTENTION_14_2014/17_100_1,ATTENTION_14_2014/17_1,ATTENTION_14_2014/17_100_2,ATTENTION_14_2014/17_2,ATTENTION_14_2014/17_100_3,ATTENTION_14_2014/17_3,ATTENTION_14_2014/17_100_4,ATTENTION_14_2014/17_4,ATTENTION_14_2014/17_100_5,ATTENTION_14_2014/17_5,ATTENTION_14_2014/17_100_6,ATTENTION_14_2014/17_6,ATTENTION_14_2014/17_100_7,ATTENTION_14_2014/17_7,ATTENTION_14_2014/17_100_8,ATTENTION_14_2014/17_8,ATTENTION_14_2014/17_100_9,ATTENTION_14_2014/17_9
MAE,2.571942114328886,2.571942114328886,1.6640327528859584,1.6640327528859584,1.9793222079687582,1.9793222079687582,2.439135236116086,2.439135236116086,1.3250186326650784,1.3250186326650784,2.5254881956542907,2.5254881956542907,1.8867989895269845,1.8867989895269845,2.2362842817279427,2.2362842817279427,1.9054046694812083,1.9054046694812083,1.6136329053452843,1.6136329053452843
RMSE,3.816651912782501,3.816651912782501,2.2806683045095295,2.2806683045095295,2.750602580328205,2.750602580328205,3.953008284887671,3.953008284887671,1.9909190058641009,1.9909190058641009,3.450438443171983,3.450438443171983,2.659515590725713,2.659515590725713,3.2108846920665535,3.2108846920665535,2.432160100291026,2.432160100291026,2.3523024856317982,2.3523024856317982
R,0.7525938685304587,0.7525938685304587,0.9147098014351513,0.9147098014351513,0.8636412416322911,0.8636412416322911,0.8760223275218713,0.8760223275218713,0.9243509160470518,0.9243509160470518,0.8663039648587262,0.8663039648587262,0.8508630064310708,0.8508630064310708,0.7993919027257417,0.7993919027257417,0.8948539490938189,0.8948539490938189,0.8875140489153157,0.8875140489153157
