,MAE,RMSE,R,Lag
2014/15,3.134,4.584,0.695,6.0
2015/16,3.712,5.108,0.687,-32.0
2016/17,2.387,2.801,0.899,-19.0
2017/18,4.775,7.258,0.906,15.0
Average,3.502,4.938,0.797,18.0
