,MAE,RMSE,R,Lag
2014/15,2.717,4.445,0.799,16.0
2015/16,2.215,3.367,0.873,-40.0
2016/17,1.555,2.379,0.884,-1.0
2017/18,5.399,10.255,0.865,14.0
Average,2.971,5.112,0.855,18.0
