,loss,mae,mse,rmse
0,,8.11543083190918,236.87615966796875,14.787311553955078
1,69.28105877755269,7.430838108062744,221.11099243164062,14.660035133361816
2,32.592961405853906,6.487656593322754,197.9861297607422,13.288355827331543
3,16.969886173470297,5.817629814147949,184.4615936279297,12.959529876708984
4,9.475919278914194,5.604019641876221,179.0659942626953,13.011707305908203
5,5.962986162173302,6.218145370483398,202.3456573486328,13.625844955444336
6,4.494803475538644,6.613104343414307,221.5865020751953,14.446111679077148
7,3.756302387782842,6.930111408233643,211.4488525390625,14.101787567138672
8,3.4311771118997902,7.466506004333496,242.63369750976562,15.318460464477539
9,3.30765610994031,8.231741905212402,291.85345458984375,16.451026916503906
10,3.2408322312648594,8.302495956420898,279.1953430175781,15.854086875915527
11,3.178133239419271,7.804905414581299,261.3790283203125,15.706766128540039
12,3.109851136771423,7.70188045501709,267.7568359375,15.69338607788086
13,3.047173479450599,6.950869083404541,246.1757354736328,15.143566131591797
14,2.9730209635893257,6.628086090087891,221.42933654785156,14.77011775970459
15,,6.2676920890808105,229.13885498046875,14.539453506469727
16,2.8826878810598733,6.451379299163818,230.2786407470703,14.746807098388672
17,2.874677553703918,6.7051849365234375,282.4566955566406,15.72525691986084
18,2.864056655160068,6.35261344909668,225.07546997070312,14.406800270080566
19,,6.047137260437012,204.3316650390625,13.564708709716797
20,2.8395509228142517,6.707021713256836,261.5659484863281,15.111417770385742
21,2.832315648106301,6.616690158843994,247.7089385986328,15.088454246520996
22,2.815406193369588,6.292547225952148,238.21571350097656,14.213664054870605
23,2.778311447657049,6.04459285736084,231.7266082763672,14.45390510559082
24,2.7445045009223206,6.141651153564453,230.33810424804688,14.236083030700684
25,,5.283064365386963,189.9217987060547,13.156472206115723
26,,5.488462924957275,202.73672485351562,13.504632949829102
27,,5.568506717681885,230.59950256347656,13.86865234375
28,,5.6180572509765625,239.1370391845703,14.796224594116211
29,,5.512353897094727,195.80621337890625,13.14584732055664
30,,5.7230329513549805,193.83737182617188,13.654809951782227
31,2.6937492410501385,6.12104606628418,257.7010803222656,14.921747207641602
32,2.6815863229787507,5.771084785461426,217.8177032470703,14.10395336151123
33,,5.815276145935059,219.6533966064453,14.242721557617188
34,,5.97557258605957,236.40232849121094,14.586991310119629
35,,5.723507881164551,203.50721740722656,13.66268253326416
36,2.6648035113478046,5.814182281494141,192.6225128173828,13.097601890563965
37,2.6602192303397545,5.7759504318237305,207.13870239257812,13.817498207092285
38,2.6537592706948234,5.895156383514404,232.2961883544922,14.662866592407227
39,2.6449829047386495,6.042137622833252,281.7167663574219,15.463838577270508
40,,5.623839378356934,215.88917541503906,14.036611557006836
41,,5.334982872009277,202.66064453125,13.458532333374023
42,,5.47866153717041,219.11160278320312,14.133626937866211
43,,5.7138495445251465,265.3352966308594,15.407576560974121
44,,5.547502040863037,216.44012451171875,13.679520606994629
45,,5.691272258758545,283.7392883300781,15.229575157165527
46,,5.42818021774292,197.466552734375,13.024348258972168
47,,5.378117084503174,177.00975036621094,12.874616622924805
48,,5.4140825271606445,195.675048828125,13.192702293395996
