,MAE,RMSE,R,Lag
2014/15,3.922,5.72,0.886,6.0
2015/16,2.402,3.816,0.891,9.0
2016/17,1.565,2.023,0.926,-17.0
2017/18,5.563,10.785,0.964,6.0
Average,3.363,5.586,0.917,10.0
