,MAE,RMSE,R,Lag
2014/15,1.701,2.631,0.946,-1.0
2015/16,1.906,3.128,0.889,-35.0
2016/17,1.577,2.169,0.904,-16.0
2017/18,3.831,7.53,0.953,8.0
Average,2.254,3.864,0.923,15.0
