,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,4.508436639122759,4.508436679840088,116.99793243408203,9.438755989074707,2.6496674341698214,2.649667739868164,8.253859519958496,2.829219102859497
1,3.6881574243982733,3.688157320022583,92.41496276855469,8.256579399108887,2.4701063365152436,2.470106601715088,7.178058624267578,2.6330149173736572
2,3.367889787388088,3.3678901195526123,82.0846176147461,7.632222652435303,2.3273377379325972,2.3273375034332275,6.591828346252441,2.48921537399292
3,3.133480437756786,3.1334805488586426,74.18205261230469,7.289348125457764,2.096287664648605,2.096287488937378,5.479705333709717,2.2487242221832275
4,2.952391676098033,2.9523916244506836,68.75887298583984,7.004709243774414,2.0310015737193905,2.031001567840576,5.221559524536133,2.1725072860717773
5,2.810725629359709,2.810725450515747,64.4296646118164,6.681539535522461,1.7630173461077965,1.7630175352096558,4.152619361877441,1.908124327659607
6,2.6985147089441717,2.6985151767730713,61.340999603271484,6.345125198364258,1.7913349941985248,1.7913349866867065,4.275608062744141,1.9309513568878174
7,2.606587390395196,2.6065869331359863,58.49893569946289,6.126911640167236,1.7858101995023963,1.785810112953186,4.268495082855225,1.9273613691329956
8,2.5260318091294027,2.526031255722046,56.239566802978516,6.247139930725098,1.70930411685003,1.7093040943145752,4.027097702026367,1.8500635623931885
9,2.4583695074172707,2.4583687782287598,54.12369155883789,5.896070957183838,1.4843644262993172,1.4843642711639404,3.251028299331665,1.6338881254196167
10,2.4044648613677517,2.4044651985168457,52.720394134521484,5.935375213623047,1.601665951781077,1.60166597366333,3.680354595184326,1.748384714126587
11,2.351740083586359,2.3517391681671143,51.26936340332031,5.821941375732422,1.572800920760795,1.5728007555007935,3.57958984375,1.7200859785079956
12,2.3055700063104894,2.305570363998413,49.913169860839844,5.822744846343994,1.680764885144691,1.68076491355896,4.056234836578369,1.823596715927124
13,2.2643806816048224,2.264380693435669,48.72077560424805,5.564955234527588,1.62394271876714,1.6239428520202637,3.857806921005249,1.767738938331604
14,2.229961311186591,2.229961633682251,47.74927520751953,5.685945987701416,1.471511089638488,1.4715111255645752,3.2685701847076416,1.618630051612854
15,2.194774359179384,2.1947743892669678,46.691307067871094,5.482357501983643,1.4746945103553877,1.4746943712234497,3.279491901397705,1.6208597421646118
16,2.164984475395241,2.164984703063965,45.98105239868164,5.302907943725586,1.4083625594230547,1.408362627029419,3.0564963817596436,1.5541311502456665
17,2.135232608144169,2.1352322101593018,45.26978302001953,5.494868755340576,1.4467483030606623,1.4467482566833496,3.2242980003356934,1.592061996459961
18,2.108516224145289,2.1085164546966553,44.363643646240234,5.187122344970703,1.4332311591056928,1.433231234550476,3.193734645843506,1.5752500295639038
19,2.0856751139878624,2.0856757164001465,43.91047286987305,5.232775688171387,1.3634111169266374,1.3634110689163208,2.9094409942626953,1.5125453472137451
20,2.062587566039424,2.0625877380371094,43.17695236206055,5.1665120124816895,1.3689646306103223,1.3689645528793335,2.9434409141540527,1.5189473628997803
21,2.040497612833076,2.0404975414276123,42.64032745361328,5.155941486358643,1.4134776935185471,1.4134775400161743,3.1307387351989746,1.5609782934188843
22,2.018159629415805,2.018159866333008,42.130027770996094,5.177933216094971,1.4188047030200697,1.41880464553833,3.1418497562408447,1.5709220170974731
23,2.000361821393222,2.000361919403076,41.62873458862305,5.148566722869873,1.3960197759001223,1.396019697189331,3.0620040893554688,1.5445839166641235
24,1.9792849433211896,1.979284644126892,41.18007278442383,5.122287273406982,1.4326309119185356,1.4326308965682983,3.1935603618621826,1.5846940279006958
25,1.963028243867216,1.9630284309387207,40.54719543457031,5.100367546081543,1.4022108972889102,1.4022109508514404,3.093367338180542,1.5535730123519897
26,1.94521492698631,1.945215106010437,40.33866500854492,5.029209136962891,1.3179862162838243,1.317986249923706,2.767247438430786,1.4746675491333008
27,1.9307142136078939,1.93071448802948,39.8299560546875,4.982131481170654,1.2928114179062518,1.2928115129470825,2.66782808303833,1.4501723051071167
28,1.9133538228138267,1.9133538007736206,39.507667541503906,4.931666851043701,1.4043976114220815,1.4043974876403809,3.1108996868133545,1.554228663444519
29,1.898255184315314,1.8982555866241455,39.01921081542969,4.970792293548584,1.407595689982584,1.4075957536697388,3.107113838195801,1.5584262609481812
30,1.8832520019497618,1.8832515478134155,38.66459655761719,4.91103458404541,1.3903193718766513,1.3903193473815918,3.052441120147705,1.5401750802993774
31,1.8693215955114484,1.8693209886550903,38.26251983642578,4.905207633972168,1.3546198407264605,1.3546198606491089,2.916627883911133,1.5098909139633179
32,1.854259676296705,1.8542593717575073,37.884910583496094,4.778036117553711,1.3769814393291735,1.376981496810913,2.9844188690185547,1.5322664976119995
33,1.8427792382180241,1.8427790403366089,37.55852127075195,4.891693592071533,1.389653169618894,1.389653205871582,3.059218168258667,1.5414146184921265
34,1.8311826142616177,1.8311822414398193,37.40774917602539,4.798612594604492,1.299879674552238,1.2998796701431274,2.7037928104400635,1.4547605514526367
35,1.8184388251388703,1.8184393644332886,37.02902603149414,4.818115711212158,1.4021071659375544,1.4021072387695312,3.0935821533203125,1.553523302078247
36,1.8065645112198607,1.8065643310546875,36.803924560546875,4.760071754455566,1.3369443530905736,1.3369444608688354,2.8533287048339844,1.4923919439315796
37,1.795762410632309,1.795762538909912,36.451820373535156,4.739982604980469,1.30062915821598,1.3006291389465332,2.7230422496795654,1.4566437005996704
38,1.7843646441659038,1.7843648195266724,36.12098693847656,4.740652561187744,1.4486278334709064,1.4486278295516968,3.298794984817505,1.6009305715560913
39,1.7734469750666197,1.7734472751617432,35.88103485107422,4.7944560050964355,1.393819789200613,1.3938196897506714,3.085935592651367,1.5468066930770874
40,1.761448255023668,1.7614476680755615,35.615943908691406,4.582986354827881,1.4568389334090768,1.4568389654159546,3.3409738540649414,1.6068556308746338
41,1.7518750605715312,1.7518748044967651,35.465511322021484,4.581737041473389,1.3520413382412637,1.3520413637161255,2.933412551879883,1.5052636861801147
42,1.743309474832165,1.7433092594146729,35.13652801513672,4.615972518920898,1.4169990689787146,1.416999101638794,3.1797797679901123,1.570426344871521
43,1.731737830596847,1.731737494468689,35.0118522644043,4.693424701690674,1.284628445155,1.2846285104751587,2.67636775970459,1.439807653427124
44,1.7223019503826458,1.7223021984100342,34.75572967529297,4.56125545501709,1.367302671850544,1.367302656173706,2.991244077682495,1.5254285335540771
45,1.7143046210334643,1.7143049240112305,34.51813888549805,4.616796970367432,1.3900358271925417,1.3900357484817505,3.0913383960723877,1.5441694259643555
46,1.703753528907257,1.7037535905838013,34.33350372314453,4.535431385040283,1.3775652766227722,1.3775653839111328,3.044828176498413,1.5348179340362549
47,1.6950484667977397,1.6950483322143555,34.093990325927734,4.525075435638428,1.3990984323906572,1.39909827709198,3.132378101348877,1.553213119506836
48,1.6868223428125646,1.6868222951889038,34.013248443603516,4.557304859161377,1.3909065955305753,1.390906572341919,3.1081013679504395,1.5504175424575806
49,1.6775241525707678,1.677524209022522,33.762142181396484,4.503032207489014,1.3784333929623642,1.378433346748352,3.044717311859131,1.5302512645721436
50,1.66984877838596,1.669848918914795,33.58730697631836,4.626832485198975,1.3160496262654866,1.3160496950149536,2.8055803775787354,1.4722578525543213
51,1.6616001800565936,1.661600112915039,33.3057861328125,4.507874965667725,1.4404236081528337,1.4404237270355225,3.300832509994507,1.592556118965149
52,1.6536642997631197,1.653663992881775,33.14196014404297,4.471008777618408,1.3913962357664762,1.3913962841033936,3.1143581867218018,1.5511471033096313
53,1.6467181367898167,1.6467180252075195,32.924991607666016,4.478894233703613,1.3323579731052868,1.3323578834533691,2.8817977905273438,1.489317536354065
54,1.6383754558467145,1.6383756399154663,32.8202018737793,4.461275100708008,1.3301572958084003,1.3301572799682617,2.8759706020355225,1.4893964529037476
55,1.6294491256514485,1.6294488906860352,32.593868255615234,4.3596978187561035,1.3165115764696305,1.316511631011963,2.8199188709259033,1.4714443683624268
56,1.622664703530088,1.6226640939712524,32.4659423828125,4.504642486572266,1.3584351913569725,1.3584352731704712,3.0028252601623535,1.5212663412094116
57,1.6159972807922651,1.615997552871704,32.38453674316406,4.353564262390137,1.36301329642126,1.3630131483078003,3.002338409423828,1.5232467651367188
58,1.6096963705283869,1.6096957921981812,32.14916229248047,4.439858913421631,1.3745207237870727,1.3745207786560059,3.0579752922058105,1.5330240726470947
59,1.6021755381855616,1.6021754741668701,32.00349044799805,4.31878662109375,1.3902489358431673,1.3902488946914673,3.123584032058716,1.5475225448608398
60,1.5945372866743457,1.5945369005203247,31.783527374267578,4.390987396240234,1.3807580082383875,1.3807580471038818,3.0695626735687256,1.5357517004013062
61,1.5881823707888048,1.5881823301315308,31.669902801513672,4.349173069000244,1.409366060283086,1.4093660116195679,3.2118444442749023,1.5699501037597656
62,1.582149781147839,1.5821503400802612,31.539182662963867,4.343594074249268,1.3530965736467544,1.353096604347229,2.9735946655273438,1.5076485872268677
63,1.5758097071791777,1.5758097171783447,31.322834014892578,4.302460193634033,1.3760405316744766,1.3760405778884888,3.089498281478882,1.5393260717391968
64,1.5689565749853023,1.5689563751220703,31.282991409301758,4.243284702301025,1.3521181851217192,1.3521182537078857,2.99493670463562,1.5158835649490356
65,1.5638796785015903,1.563879370689392,31.169403076171875,4.2550201416015625,1.363442865789753,1.3634428977966309,3.027561902999878,1.5219860076904297
66,1.5571198735789629,1.5571194887161255,30.831594467163086,4.240096092224121,1.345371115534273,1.3453712463378906,2.9574248790740967,1.508043646812439
67,1.552022517147833,1.5520226955413818,30.797618865966797,4.323296070098877,1.3276296225312638,1.3276296854019165,2.8787782192230225,1.4837329387664795
68,1.5453126707065015,1.5453126430511475,30.655975341796875,4.2494916915893555,1.4359016568693397,1.4359015226364136,3.311774492263794,1.5918439626693726
69,1.5398434936249585,1.5398437976837158,30.533700942993164,4.191359043121338,1.396711837102289,1.396711826324463,3.1611106395721436,1.5550132989883423
70,1.535068645525339,1.535068392753601,30.39607048034668,4.191923141479492,1.3000917932758593,1.3000917434692383,2.7885098457336426,1.4591426849365234
71,1.5283992725295443,1.5283992290496826,30.2545223236084,4.2032790184021,1.452356297512577,1.4523564577102661,3.4013521671295166,1.6170387268066406
72,1.5247935290300576,1.5247933864593506,30.193294525146484,4.136227607727051,1.369516192723627,1.369516134262085,3.0596253871917725,1.5314182043075562
73,1.5181897535732471,1.518189787864685,30.010663986206055,4.193077087402344,1.3659254830177516,1.3659255504608154,3.0496487617492676,1.528594732284546
74,1.5134984389660642,1.5134981870651245,29.909971237182617,4.202219009399414,1.3666391746638573,1.3666391372680664,3.052988290786743,1.5284703969955444
75,1.506823593122833,1.5068237781524658,29.752490997314453,4.143970966339111,1.3819717350071423,1.3819717168807983,3.1286420822143555,1.5484708547592163
76,1.5014252063309215,1.5014252662658691,29.736339569091797,4.126347064971924,1.3272004803566084,1.3272004127502441,2.901581287384033,1.4893863201141357
77,1.4972719362460696,1.4972718954086304,29.58584213256836,4.151872634887695,1.4300122587648156,1.4300122261047363,3.3066763877868652,1.59219229221344
78,1.492995827264089,1.4929958581924438,29.500926971435547,4.0671706199646,1.3568802941335392,1.3568803071975708,3.026233196258545,1.5185072422027588
79,1.488281377136557,1.488281011581421,29.37786865234375,4.107701778411865,1.3388606291927703,1.3388606309890747,2.946046829223633,1.4995687007904053
80,1.4839281161726272,1.4839284420013428,29.281740188598633,4.115408420562744,1.3987070104847215,1.3987070322036743,3.184556007385254,1.5592234134674072
81,1.4774253807980708,1.4774249792099,29.160539627075195,4.182547569274902,1.3733070869968362,1.3733071088790894,3.098935127258301,1.5391359329223633
82,1.4748219675020848,1.4748224020004272,29.024477005004883,4.004402160644531,1.3551760124833616,1.3551759719848633,3.014655113220215,1.5169801712036133
83,1.469971809849631,1.4699716567993164,28.97362518310547,4.108989238739014,1.3936444275999722,1.3936443328857422,3.166980743408203,1.5575456619262695
84,1.46403782067431,1.4640380144119263,28.789411544799805,4.093478202819824,1.320354976392772,1.32035493850708,2.886751413345337,1.4855897426605225
85,1.4601635207757542,1.460163950920105,28.704540252685547,4.128820419311523,1.3734144542315234,1.3734145164489746,3.1030731201171875,1.5382473468780518
86,1.4564187562735915,1.456418514251709,28.5585880279541,4.09538459777832,1.3870635365786619,1.3870635032653809,3.1573486328125,1.5563324689865112
87,1.4513060235857063,1.4513059854507446,28.57933807373047,4.118828296661377,1.390168055279614,1.3901680707931519,3.161001443862915,1.554535984992981
88,1.4468625832564885,1.4468622207641602,28.412155151367188,3.978184223175049,1.3522266278528188,1.3522264957427979,3.023303985595703,1.5194675922393799
89,1.4430829131032719,1.4430826902389526,28.360107421875,4.059710502624512,1.387347391533525,1.3873474597930908,3.1467843055725098,1.5524120330810547
90,1.4387330044126632,1.4387332201004028,28.211048126220703,4.074086666107178,1.3151510328462679,1.3151510953903198,2.858731508255005,1.4775968790054321
91,1.434416972614956,1.4344167709350586,28.108604431152344,4.005911827087402,1.3462452766013473,1.346245288848877,2.9824583530426025,1.5101783275604248
92,1.4308058445039264,1.4308056831359863,28.07813262939453,4.079178810119629,1.3968245205813892,1.396824598312378,3.1912245750427246,1.5649058818817139
93,1.426876612033892,1.4268771409988403,27.918190002441406,4.0226664543151855,1.343468190056004,1.3434683084487915,2.988677501678467,1.510972023010254
94,1.4228483967276604,1.4228485822677612,27.87118911743164,4.014337539672852,1.3572092794392208,1.357209324836731,3.030489921569824,1.5222597122192383
95,1.4190178294926505,1.4190179109573364,27.72471809387207,3.9217400550842285,1.3581394816098147,1.3581396341323853,3.032538890838623,1.520833969116211
96,1.4150958599311578,1.4150958061218262,27.59332847595215,4.09522008895874,1.3919481741238946,1.3919483423233032,3.1673312187194824,1.5564275979995728
97,1.411564358205579,1.411564588546753,27.593917846679688,3.9477977752685547,1.3479772009261668,1.3479772806167603,3.008312702178955,1.5149163007736206
98,1.4080547824014045,1.4080549478530884,27.529834747314453,3.9928090572357178,1.3760617171248344,1.3760617971420288,3.10825252532959,1.5401438474655151
99,1.4039689435466411,1.4039686918258667,27.37199592590332,3.916977643966675,1.3488848709080317,1.3488849401474,3.01937198638916,1.521094560623169
