,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2
MAE,10.473426956309249,6.25326042104265,5.4437474375586605,11.471029096999844,10.477291055864068,6.248743287658621
RMSE,12.175136445221277,9.032990595018823,7.435225626364039,18.281740762485093,12.17898337446994,9.028359523571803
R,-0.8432296302299201,0.8107874680877488,-0.7013008221499594,0.593756059266181,-0.8443383374484024,0.8144999130093454
Lag,187.0,9.0,202.0,16.0,188.0,9.0
