,MAE,RMSE,R,Lag
2014/15,1.752,3.002,0.898,-2.0
2015/16,2.178,3.045,0.896,11.0
2016/17,1.731,2.601,0.876,-20.0
2017/18,3.803,7.267,0.96,15.0
Average,2.366,3.979,0.908,12.0
