,28,10,28,6
loss,0.8836969971067747,1.8044495406562409,0.8256015978222321,2.111027083393611
mae,0.8836969137191772,1.804449200630188,0.8256017565727234,2.1110270023345947
mse,6.382960796356201,35.40731430053711,5.279847621917725,45.33133316040039
rmse,1.7468982934951782,3.6708154678344727,1.5938245058059692,4.3919830322265625
pearson,0.9911821484565735,0.9574586153030396,,0.9194994568824768
val_loss,1.4744626735592936,1.7946702226384046,1.0858274459183872,3.5342614159479244
val_mae,1.474462866783142,1.7946703433990479,1.0858274698257446,3.534261465072632
val_mse,5.737045764923096,7.48564338684082,2.840259552001953,58.88941955566406
val_rmse,1.6300468444824219,1.98481023311615,1.163922905921936,3.853377342224121
val_pearson,0.21244293451309204,0.07352755218744278,0.5750508308410645,0.27778854966163635
