,MAE,RMSE,R,Lag
2014/15,2.85,4.472,0.939,7.0
2015/16,2.187,3.39,0.875,27.0
2016/17,1.865,3.033,0.862,-8.0
2017/18,3.9,6.986,0.966,13.0
Average,2.701,4.47,0.911,14.0
