,GRU2014/15_0,GRU2015/16_0,GRU2016/17_0,GRU2017/18_0,GRU2014/15_1,GRU2015/16_1,GRU2016/17_1,GRU2017/18_1,ATTENTION2014/15_0,ATTENTION2015/16_0,ATTENTION2016/17_0,ATTENTION2017/18_0,ATTENTION2014/15_1,ATTENTION2015/16_1,ATTENTION2016/17_1,ATTENTION2017/18_1
MAE,3.0185396976279413,5.234258463643386,4.370287987762798,5.754472138028232,2.8216637012794084,6.112614874754963,5.643479828120727,8.928232203832872,3.113934772119072,3.8234424166808454,2.0985632509225605,6.161237911318918,3.775783347619969,5.508605271948912,9.00257830959948,10.47296949424451
RMSE,3.7407084629337715,5.804048461814337,5.014345585630371,9.547748149263384,3.616846964170108,7.261783131898206,6.472719173738379,11.647675905055614,3.8128668630504934,5.501865781863337,2.543873686306942,9.963653013472461,4.373440583090202,6.245748563542374,10.083100051753615,11.474559607399215
R,0.8139140175656662,0.7296946028238008,0.8721724431325121,0.814483832928033,0.8503079598384201,0.7224382291760741,0.8120684491695664,0.6111939550816574,0.8276004281023854,0.6942827782945616,0.892134225466553,0.789809642425203,0.82034218355897,0.7040430484517819,0.8655515408719268,0.7989690778939169
