,MAE,RMSE,R,Lag
2014/15,7.912,10.003,0.774,-68.0
2015/16,8.269,10.607,0.734,32.0
2016/17,6.013,7.835,-0.567,-145.0
2017/18,11.231,18.168,-0.759,192.0
Average,8.356,11.653,0.046,109.0
