,ATTENTION_14_2014/15,ATTENTION_14_2014/16,ATTENTION_14_2014/17,ATTENTION_14_2014/18
MAE,1.8318604355106685,2.3884924430831904,2.232148044891066,3.866727698827402
RMSE,2.5734519237886864,3.587186233960899,2.885484215422961,6.080835527972905
R,0.9153745044741123,0.8908979156925936,0.8621401563711552,0.9706113608438266
