,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2,2016/17_2,2017/18_2,2014/15_3,2015/16_3,2016/17_3,2017/18_3,2014/15_4,2015/16_4,2016/17_4,2017/18_4,2014/15_5,2015/16_5,2016/17_5,2017/18_5,2014/15_6,2015/16_6,2016/17_6,2017/18_6,2014/15_7,2015/16_7,2016/17_7,2017/18_7,2014/15_8,2015/16_8,2016/17_8,2017/18_8,2014/15_9,2015/16_9,2016/17_9
MAE,10.473426956309249,6.25326042104265,5.4437474375586605,11.471029096999844,10.477291055864068,6.248743287658621,5.440982266390058,11.468090999759855,10.478550020925203,6.2489034013684925,5.4417552622082095,11.46889613673317,10.479680264122083,6.2445096661499235,5.440332989320261,11.472634836531093,10.48082120676095,6.245983083848935,5.441321433638771,11.469487727655265,10.48020713325581,6.248094736358697,5.440979759973921,11.472899507312578,10.47342277385949,6.253264409668223,5.443723068893671,11.471220754535883,10.477290102189752,6.24874515396799,5.440955055155064,11.468091567733307,10.478550219498485,6.248904106852977,5.441732887767664
RMSE,12.175136445221277,9.032990595018823,7.435225626364039,18.281740762485093,12.17898337446994,9.028359523571803,7.4332963437334385,18.279281579468176,12.180176660207541,9.028662678387684,7.4343311772065945,18.279931475291793,12.181259303955343,9.024124638751006,7.432881301876016,18.282787248655705,12.182318293120794,9.025696375400885,7.433993185146371,18.279111215621576,12.18165122481649,9.027679181841004,7.433958068212491,18.28287934359138,12.1751322702661,9.032994410617643,7.435231379504092,18.28197356463959,12.178982613194622,9.028361322146896,7.43327262661861,18.279285136077696,12.180176995607031,9.028663295033912,7.43431494353583
R,-0.8432296302299201,0.8107874680877488,-0.7013008221499594,0.593756059266181,-0.8443383374484024,0.8144999130093454,-0.7020167304620132,0.5984735778993856,-0.8442595994358939,0.8124490030573692,-0.7048914353000594,0.5980348283336875,-0.8443931372791121,0.8137186746016242,-0.7009356039529598,0.5923021702666333,-0.8439468685326745,0.8117400945630873,-0.7021716534743151,0.6019420072203825,-0.8436683758044355,0.815034247089884,-0.7062600574313644,0.5915181701232946,-0.8432298039820227,0.8107877403045338,-0.7015210750807674,0.592779117924096,-0.8443383317286748,0.8145002158142822,-0.7019865909075769,0.5984761131358269,-0.844260316623598,0.8124493776728086,-0.7049518871776991
Lag,187.0,9.0,202.0,16.0,188.0,9.0,202.0,16.0,188.0,9.0,202.0,16.0,187.0,9.0,202.0,16.0,187.0,9.0,202.0,16.0,187.0,9.0,202.0,16.0,187.0,9.0,202.0,16.0,188.0,9.0,202.0,16.0,188.0,9.0,202.0
