,MAE,RMSE,R,Lag
2014/15,1.916,2.966,0.917,1.0
2015/16,2.201,3.726,0.917,-38.0
2016/17,1.488,2.202,0.905,-19.0
2017/18,4.359,8.031,0.963,15.0
Average,2.491,4.231,0.925,18.0
