,_7_2014/15,_7_2015/16,_7_2016/17,_7_2017/18,_14_2014/15,_14_2015/16,_14_2016/17,_14_2017/18,_21_2014/15,_21_2015/16,_21_2016/17,_21_2017/18
MAE,0.32247491296311165,0.2629253240143599,0.3760270146006829,0.5104326983260631,0.34281965358481814,0.30230388792909146,0.36227549875937093,0.5286099693253071,0.40423322929006233,0.3387486493580257,0.37659507355896266,0.5752710862083285
RMSE,0.49191995497555735,0.3638203476443861,0.604384752503542,0.9696037892090332,0.5284671090605814,0.4520363697125406,0.5129397320845602,0.9799172414026115,0.6724579703474888,0.5089136874900928,0.6321157433017094,1.1383347786911397
R,0.9757690108596377,0.8995052892732494,0.9447194720154152,0.9641034603116503,0.9897904414277704,0.874731086961619,0.9244636146976022,0.9341927970938372,0.96880706034822,0.7674755782387058,0.9044504171869964,0.9267183709155401
Lag,2.0,11.0,11.0,-33.0,2.0,2.0,17.0,-30.0,5.0,9.0,28.0,-34.0
