,2014/15_0,2015/16_0,2016/17_0,2017/18_0,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2,2016/17_2,2017/18_2,2014/15_3,2015/16_3,2016/17_3,2017/18_3,2014/15_4,2015/16_4,2016/17_4,2017/18_4,2014/15_5,2015/16_5,2016/17_5,2017/18_5,2014/15_6,2015/16_6,2016/17_6,2017/18_6,2014/15_7,2015/16_7,2016/17_7,2017/18_7,2014/15_8,2015/16_8,2016/17_8,2017/18_8,2014/15_9,2015/16_9,2016/17_9,2017/18_9
MAE,1.7190586928335703,2.3776927957543053,2.455903940520554,4.812847941247896,1.6375175215898892,2.390138068623357,3.7069830273473494,4.932034979383938,1.8815860276647056,2.4279630410610062,1.822986984785219,4.10169686665745,2.255220904531043,3.0225424340763913,1.9177734351155127,4.794074942733206,1.6865643983234724,2.444066740607801,2.0366328448589734,11.202309156684931,2.51986027139745,2.060717156195153,2.257350988812703,4.244915972458933,7.941183085926809,2.1413296783234665,1.9209198254563395,5.717355849075465,1.952790876396592,2.291961919658085,1.9204694613838087,5.614747498115835,3.247671555002379,3.0654829921714533,2.659394507922761,5.079604630660228,2.4261699201060645,8.325496453722481,2.2362106983933807,3.650402496250053
RMSE,2.585133586088074,3.5762311914097755,3.5920866892441006,8.531711871005207,2.303283288471991,3.51282385898356,4.90961244919303,9.031327717498929,2.5316946286970183,3.6339110170258624,2.8237779153356546,7.306396482063871,3.413702260818777,4.525744514200888,2.7483261731648554,9.516815006900504,2.5797028456470956,3.4643177783825463,2.915676067356467,18.149783776742193,3.936731337775495,2.9566385003260143,3.1185942963644013,7.785354341729788,10.026112342025655,3.169200355151546,2.542090007990207,10.892792775425448,3.1999561489209003,3.243525209150766,2.9189615196231777,10.419400599642678,4.760005195959528,4.734804429780142,3.819543010182222,9.045828082538552,3.7500072665503046,10.651608607249052,2.9671693671804147,6.861142734281607
R,0.9075876330624029,0.8438584206479744,0.7282771581749489,0.8946177791009581,0.9310829222808088,0.8773795053784944,0.8855403916296591,0.9274350406014261,0.9152875008852644,0.8482073193786649,0.8569337329201285,0.9739461459609497,0.8947650256628428,0.8739009494011803,0.8879552440854926,0.9120102909101272,0.9131365910239887,0.8690030789716655,0.850223688720059,,0.8167184243108656,0.8997425412518681,0.8436581843372429,0.9229501045879939,,0.880788341428375,0.8734135869461181,0.9686103183214292,0.8875366867010872,0.8801609213509473,0.8534011211587978,0.9245907885577774,0.8921431117955521,0.8217341193743464,0.8223049766619076,0.9364541302823032,0.9004943972279276,,0.8492736531008972,0.9415403012193576
Lag,-1.0,11.0,-24.0,15.0,-2.0,11.0,-17.0,5.0,-1.0,-27.0,-19.0,7.0,-2.0,25.0,-13.0,12.0,-3.0,11.0,-26.0,-140.0,5.0,-26.0,-26.0,15.0,-137.0,12.0,-26.0,7.0,5.0,-25.0,-15.0,5.0,0.0,26.0,-17.0,7.0,-1.0,-206.0,-18.0,15.0
