,2014/15_0,2015/16_0,2016/17_0,2017/18_0,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2,2016/17_2,2017/18_2,2014/15_3,2015/16_3,2016/17_3,2017/18_3,2014/15_4,2015/16_4,2016/17_4,2017/18_4
MAE,1.964814615265378,2.723619893052081,3.11582595574024,5.648784028533992,1.9268906188406472,2.960860684487853,2.2112957536342406,4.174790140695092,2.2490936748245214,3.1887293232060374,2.3507451695540214,4.471317172001457,2.291512530186714,2.545762994811698,2.1530428711967264,5.533838721927511,2.0506009597201165,2.511192986259429,1.8709932055037402,3.964530665239769
RMSE,2.9069373285842675,3.697370549662258,4.623500131547866,10.475807069613854,2.7087524688827536,4.272793176785639,2.9369383753910863,7.810948539216115,3.232024302042033,5.0405741029067865,3.2757230859043567,7.444309690954235,3.3876028945627286,3.646080039163344,2.9758927074690287,9.946068662393468,3.0171179159414745,3.594468111636896,2.4635254452416873,7.359640562691294
R,0.9554886275106564,0.8359325737638883,0.7280756817957983,0.9463239796265105,0.9257146405501896,0.8644052513800329,0.8446365868376629,0.9616609844380979,0.9333967742583299,0.8781674968227057,0.7976055066718792,0.9399707612091884,0.9205009111246888,0.8968586841585814,0.8124998312651954,0.9430994639582516,0.8790562511212477,0.879382952214397,0.8740606139424536,0.9642129715672738
