,MAE,RMSE,R,Lag
2014/15_1,10.131,11.834,0.408,-2.0
2015/16_1,6.291,9.09,-0.644,-136.0
2016/17_1,4.783,6.908,0.651,-89.0
2017/18_1,11.695,18.526,-0.767,132.0
Average,8.225,11.59,-0.088,90.0
