,loss,mae,mse,rmse,pearson,val_loss,val_mae,val_mse,val_rmse,val_pearson
0,8.854039532671452,8.854040145874023,255.93601989746094,16.071922302246094,0.05996920168399811,7.781243324279785,7.781243324279785,97.36104583740234,9.867170333862305,0.7857775092124939
1,8.616933321938093,8.61693286895752,249.33338928222656,15.145357131958008,0.43066537380218506,7.211618423461914,7.211618423461914,86.10812377929688,9.279446601867676,0.8009857535362244
2,8.568815785031616,8.568816184997559,295.4150085449219,17.03681182861328,0.20851603150367737,7.006564140319824,7.006564140319824,82.44068145751953,9.07968521118164,0.8020642399787903
3,7.801984075118614,7.801983833312988,227.58596801757812,14.973348617553711,0.23205554485321045,5.145016670227051,5.145016670227051,50.28736877441406,7.091358661651611,0.7370628118515015
4,7.100299335394913,7.10029935836792,218.66310119628906,14.897523880004883,0.2706848084926605,3.4840474128723145,3.4840474128723145,26.62921142578125,5.1603498458862305,0.7774340510368347
5,5.598986649233445,5.598987102508545,165.95957946777344,13.057180404663086,0.3862086534500122,4.228931427001953,4.228931427001953,38.85873794555664,6.233677864074707,0.8108674883842468
6,5.607577230548918,5.607577323913574,180.77651977539062,13.054409980773926,0.4565933644771576,2.8284151554107666,2.8284151554107666,13.82249927520752,3.717862129211426,0.8199328780174255
7,5.026691223236424,5.02669095993042,166.03292846679688,13.314706802368164,0.3497025668621063,2.857780933380127,2.857780933380127,14.094950675964355,3.754324197769165,0.8219268321990967
8,4.6056807519772525,4.6056809425354,153.5821533203125,12.321410179138184,0.48319894075393677,2.728865146636963,2.728865146636963,12.664097785949707,3.5586652755737305,0.833381712436676
9,4.642492031300046,4.642491817474365,151.24786376953125,12.372262954711914,0.4870973825454712,3.128673791885376,3.128673791885376,15.576719284057617,3.946735382080078,0.8310531973838806
10,5.060952235770269,5.060952186584473,158.19000244140625,12.639869689941406,0.4547024965286255,2.9480509757995605,2.9480509757995605,14.321816444396973,3.7844176292419434,0.8256586194038391
11,4.509705021323946,4.509705066680908,152.92788696289062,12.567235946655273,0.48343268036842346,2.983069896697998,2.983069896697998,13.742030143737793,3.707024335861206,0.8250294923782349
12,4.501944824086802,4.501944541931152,148.905029296875,11.858783721923828,0.48734474182128906,2.8925468921661377,2.8925468921661377,13.396803855895996,3.6601643562316895,0.8300545811653137
13,4.438357171193547,4.438357353210449,149.17698669433594,11.956655502319336,0.49907225370407104,2.856391668319702,2.856391668319702,13.07239055633545,3.6155760288238525,0.8315404653549194
14,4.436359896786497,4.436359882354736,148.36521911621094,12.256183624267578,0.5058550834655762,2.843331813812256,2.843331813812256,13.013313293457031,3.6073970794677734,0.8342066407203674
15,4.412340944677757,4.412341117858887,146.36573791503906,12.235101699829102,0.4931947588920593,2.9157400131225586,2.9157400131225586,13.39686393737793,3.660172700881958,0.8332573175430298
16,4.3783925988925985,4.378392219543457,143.675048828125,12.030383110046387,0.5054911971092224,3.005528450012207,3.005528450012207,14.49633502960205,3.8074052333831787,0.834747314453125
17,4.572207781324569,4.572207927703857,144.561767578125,12.189008712768555,0.5222363471984863,2.924400568008423,2.924400568008423,13.301336288452148,3.647099733352661,0.8369788527488708
18,4.335413366721839,4.335413455963135,139.65667724609375,11.77163028717041,0.5297423601150513,2.7774219512939453,2.7774219512939453,12.85742473602295,3.5857250690460205,0.8405241370201111
19,4.434065044183949,4.434064865112305,143.36952209472656,12.022857666015625,0.5226948261260986,3.0918240547180176,3.0918240547180176,14.322108268737793,3.784456253051758,0.8320662975311279
20,4.448709580690644,4.448709487915039,140.81277465820312,12.001457214355469,0.532834529876709,2.8580455780029297,2.8580455780029297,12.971840858459473,3.601644277572632,0.8386628031730652
21,4.367322737674348,4.3673224449157715,138.8894500732422,11.610391616821289,0.5468533039093018,2.7556989192962646,2.7556989192962646,12.289680480957031,3.505664110183716,0.8455913066864014
22,4.2539459829937165,4.253945827484131,137.6343231201172,11.71058464050293,0.5534604787826538,2.9281864166259766,2.9281864166259766,13.718239784240723,3.7038142681121826,0.8448060154914856
23,4.349314870180503,4.349315166473389,137.162109375,12.004410743713379,0.5553303956985474,2.9342691898345947,2.9342691898345947,13.69017505645752,3.700023651123047,0.8415699005126953
24,4.294525048407307,4.294525146484375,134.8533172607422,11.916112899780273,0.5500396490097046,2.77512264251709,2.77512264251709,12.674521446228027,3.560129404067993,0.8463664054870605
25,4.181472309435349,4.181472301483154,131.21351623535156,11.348085403442383,0.5746892690658569,2.6977739334106445,2.6977739334106445,11.931478500366211,3.4541971683502197,0.8475164771080017
26,4.173494576966048,4.173494338989258,133.68638610839844,11.724430084228516,0.5678787231445312,3.0482094287872314,3.0482094287872314,15.087600708007812,3.8842761516571045,0.8479081988334656
27,4.272142685954404,4.2721428871154785,128.2895050048828,11.558954238891602,0.5787414908409119,2.7326085567474365,2.7326085567474365,12.326301574707031,3.510883331298828,0.8471845984458923
28,4.142190761224512,4.142190933227539,130.98110961914062,11.748821258544922,0.5713797807693481,2.5726122856140137,2.5726122856140137,11.40125560760498,3.3765745162963867,0.8510473966598511
29,4.036402428422614,4.036402225494385,127.74270629882812,11.223376274108887,0.5779156684875488,2.8670403957366943,2.8670403957366943,13.271892547607422,3.6430609226226807,0.8466494083404541
30,4.178071765416636,4.178071975708008,127.50301361083984,11.333149909973145,0.5792173147201538,2.9050068855285645,2.9050068855285645,13.51878547668457,3.6767899990081787,0.8479478359222412
31,4.103006915298047,4.1030073165893555,125.93000793457031,11.59426212310791,0.6142811179161072,3.0196762084960938,3.0196762084960938,15.451921463012695,3.9308931827545166,0.8492305278778076
32,4.4120828031830905,4.412082672119141,130.9819793701172,11.817663192749023,0.6153088808059692,2.5898184776306152,2.5898184776306152,11.816699028015137,3.437542676925659,0.8508462309837341
33,3.925559200719229,3.9255592823028564,129.0154266357422,11.399894714355469,0.5968064069747925,2.6906728744506836,2.6906728744506836,11.938809394836426,3.4552581310272217,0.8511895537376404
34,4.000572754174858,4.000572681427002,125.56143951416016,11.28701114654541,0.6062714457511902,2.8936619758605957,2.8936619758605957,13.564714431762695,3.683030605316162,0.8522066473960876
