,2014/15,2015/16,2016/17,2017/18
MAE,0.21356521482511992,0.17714349194061377,0.24792434193603013,0.4468339514817853
RMSE,0.3217487815561754,0.26522641592691837,0.3442595212397808,0.5502686483528182
R,0.9775795390230635,0.9741623891961496,0.9820328321011302,0.9849895595909846
