,_7_2014/15,_7_2015/16,_7_2016/17,_7_2017/18,_14_2014/15,_14_2015/16,_14_2016/17,_14_2017/18,_21_2014/15,_21_2015/16,_21_2016/17,_21_2017/18
MAE,0.2533530045794821,0.29555703287975565,0.2354369926721815,0.42480320503834307,0.20396845971282543,0.35315501498045015,0.263971424161428,0.737321694193599,0.30077277766903693,0.5841453174201554,0.3553917454470416,0.5892582666903351
RMSE,0.41917493772344766,0.38452873266971926,0.39182858012070143,0.7710180444492247,0.32323977280576716,0.5732253840729288,0.38778187372610046,1.4200670410471117,0.5703806615542054,0.837769888742028,0.6425409421567647,0.9586266274480632
R,0.9886272698491337,0.8808537388968771,0.9669262636092093,0.9337832603415889,0.9688317715573523,0.7278256922233564,0.9511935124439985,0.798781049472176,0.9661380559829069,0.6987527147518994,0.9155010110907171,0.8851467549679344
Lag,0.0,9.0,8.0,20.0,13.0,-55.0,16.0,34.0,23.0,-48.0,-19.0,27.0
