,MAE,RMSE,R,Lag
2014/15,1.705,2.522,0.919,-1.0
2015/16,2.219,3.581,0.876,24.0
2016/17,1.729,2.422,0.923,-18.0
2017/18,4.401,8.488,0.959,15.0
Average,2.513,4.253,0.919,14.0
