,MAE,RMSE,R
2014/15,,,
2015/16,,,
2016/17,,,
2017/18,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,3.5333077907562256,4.267598628997803,0.5843026041984558
37,1.9311583042144775,2.2720940113067627,0.6364973187446594
38,1.898511290550232,2.0994067192077637,0.6253052353858948
39,3.017751455307007,3.3724205493927,0.8351522088050842
