,GRU_14_2014/15,GRU_14_2014/16,GRU_14_2014/17,GRU_14_2014/18
MAE,0.28641567343017965,0.4220464984887918,0.3018551674292264,2.4291064136986305
RMSE,0.5119132992688149,0.5601308631327975,0.46397405259881463,3.147471412174314
R,0.9709424258113574,0.7781547208547718,0.9381321435291428,
