,MAE,RMSE,R,Lag
2014/15,10.098,11.808,0.212,66.0
2015/16,6.604,9.361,-0.625,159.0
2016/17,5.279,7.287,0.289,8.0
2017/18,10.926,17.927,0.77,17.0
Average,8.227,11.596,0.161,62.0
