,2014/15_0,2015/16_0,2016/17_0,2017/18_0,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2,2016/17_2,2017/18_2,2014/15_3,2015/16_3,2016/17_3,2017/18_3,2014/15_4,2015/16_4,2016/17_4,2017/18_4,2014/15_5,2015/16_5,2016/17_5,2017/18_5,2014/15_6,2015/16_6,2016/17_6,2017/18_6,2014/15_7,2015/16_7,2016/17_7,2017/18_7,2014/15_8,2015/16_8,2016/17_8,2017/18_8,2014/15_9,2015/16_9,2016/17_9,2017/18_9,2014/15_10,2015/16_10,2016/17_10,2017/18_10,2014/15_11,2015/16_11,2016/17_11,2017/18_11,2014/15_12,2015/16_12,2016/17_12,2017/18_12,2014/15_13,2015/16_13,2016/17_13,2017/18_13,2014/15_14,2015/16_14,2016/17_14,2017/18_14,2014/15_15,2015/16_15,2016/17_15,2017/18_15
MAE,4.152465708642269,4.621229914406226,2.603892748235367,7.725271768035595,1.7264344728834222,2.4942597432774782,1.5549487427569284,3.5044774974776054,1.7467141098457974,2.519105615443428,1.3123223271001812,3.559884162842153,1.8642666694309862,2.5353052821287982,1.2032610087381843,3.6537403031490263,2.4671103289256324,3.0009504488388052,2.0549105775413685,4.866487484197162,4.152373812323859,4.62046569010558,2.605733418050222,7.725496151272206,2.114974342552587,2.7032801621601643,1.3778127982344828,4.136332198004658,1.7264344728834222,2.4942597432774782,1.5549487427569284,3.5044774974776054,2.5591579451051865,3.085567323532449,2.121180231784569,5.164630292937346,2.831693397456813,3.307688707704775,2.2831948409759755,5.482726752455139,4.139503914185666,4.615254341702248,2.623912146972406,7.73553117496699,1.7264344728834222,2.4942597432774782,1.5549487427569284,3.5044774974776054,2.9287109312816413,3.425021733531306,2.3510085856042533,5.749356115867863,1.7264344728834222,2.4942597432774782,1.5549487427569284,3.5044774974776054,1.7264344728834222,2.4942597432774782,1.5549487427569284,3.5044774974776054,4.240144603620958,4.729020827275017,2.8102457752138776,7.876842246729116
RMSE,5.931844179815675,7.263023500906019,3.4490913605214097,13.454720310084992,2.6571432943175073,3.793909747699416,1.9112145448449274,6.35552013986393,2.622969825298168,3.8465325862757505,1.6460341265581584,6.46740650054472,2.6838843638973056,3.889617082744769,1.5218619843222165,6.718231066740591,3.3330236376823814,4.688762564169452,2.390366002688658,8.215713601840335,5.933720428809042,7.2622066620819705,3.4535217963204685,13.459788634115819,2.979369999297638,4.244685472632513,1.631828251445328,7.447276974718363,2.6571432943175073,3.793909747699416,1.9112145448449274,6.35552013986393,3.445057542499396,4.777109875589466,2.439621096231757,8.670853323461436,3.8024230147162625,5.0614054544554055,2.5242589948573797,9.479325799618152,5.925320496912745,7.254751265922581,3.495953477760488,13.506068324378631,2.6571432943175073,3.793909747699416,1.9112145448449274,6.35552013986393,3.953992030785734,5.176777074124816,2.5838134845213214,9.947264220308739,2.6571432943175073,3.793909747699416,1.9112145448449274,6.35552013986393,2.6571432943175073,3.793909747699416,1.9112145448449274,6.35552013986393,6.117292457100691,7.419646078397026,3.9108722891964396,13.91054807923943
R,0.6399436788433273,0.22855434448236114,0.8965365702336895,0.863702019458508,0.9384746793016268,0.8994124282072697,0.9498013353100871,0.9763043880608862,0.9371246180330366,0.8980441860685784,0.9505948291956404,0.9760335973908126,0.9322748805583322,0.8918721384067526,0.9584113469642427,0.9763628853534965,0.8816756170077655,0.8019935451637551,0.9268518529280796,0.934131218172459,0.6400805632683875,0.23017376615435992,0.896109318499695,0.8634587483193571,0.9194862220915279,0.8691661769488898,0.9578382334897105,0.9662137589622831,0.9384746793016268,0.8994124282072697,0.9498013353100871,0.9763043880608862,0.8761029656838187,0.7942194940152376,0.9207781307204992,0.9253506835499177,0.8609808971189795,0.7782890770064003,0.9166442405600236,0.9033413173982887,0.6450664638599843,0.23999288512813471,0.8917833833756228,0.8618198158714738,0.9384746793016268,0.8994124282072697,0.9498013353100871,0.9763043880608862,0.853629963861945,0.764342657648858,0.9101974963680494,0.8925155930259377,0.9384746793016268,0.8994124282072697,0.9498013353100871,0.9763043880608862,0.9384746793016268,0.8994124282072697,0.9498013353100871,0.9763043880608862,0.6359510232410877,0.18373538612716067,0.8564971939178428,0.8518726908740967
