,MAE,RMSE,R,Lag
2014/15,3.56,5.086,0.922,-1.0
2015/16,2.122,3.233,0.897,25.0
2016/17,1.45,2.113,0.921,-12.0
2017/18,5.509,9.804,0.933,5.0
Average,3.16,5.059,0.918,11.0
