,MAE,RMSE,R,Lag
2014/15,5.035,6.686,0.884,-1.0
2015/16,2.022,3.166,0.905,9.0
2016/17,1.718,2.078,0.926,-17.0
2017/18,5.362,10.566,0.96,5.0
Average,3.534,5.624,0.919,8.0
