,MAE,RMSE,R,Lag
2014/15,2.249,3.239,0.867,6.0
2015/16,2.809,3.518,0.876,10.0
2016/17,5.3,6.41,0.906,-11.0
2017/18,4.98,5.863,0.947,16.0
Average,3.834,4.758,0.899,11.0
