,MAE,RMSE,R,Lag
2014/15,2.361,4.215,0.818,12.0
2015/16,2.419,3.63,0.862,-4.0
2016/17,1.605,2.552,0.864,4.0
2017/18,5.27,9.409,0.895,-6.0
Average,2.914,4.952,0.86,6.0
