,MAE,RMSE,R,Lag
2017/18_34,4.552,7.173,0.953,5.0
2014/15_35,2.705,4.175,0.918,-1.0
2015/16_35,3.401,5.45,0.849,8.0
2016/17_35,2.56,3.838,0.913,-16.0
2017/18_35,4.416,7.511,0.955,6.0
2014/15_36,1.746,2.64,0.921,9.0
2015/16_36,3.542,5.563,0.846,17.0
2016/17_36,2.877,4.279,0.917,-16.0
2017/18_36,4.795,8.867,0.967,6.0
2014/15_37,4.859,5.765,0.873,7.0
2015/16_37,3.119,3.703,0.871,11.0
2016/17_37,2.503,3.746,0.885,-16.0
2017/18_37,5.576,8.204,0.905,11.0
2014/15_38,3.797,5.489,0.927,9.0
2015/16_38,3.184,5.196,0.877,8.0
2016/17_38,2.181,3.34,0.909,-12.0
2017/18_38,3.772,5.23,0.954,5.0
2014/15_39,3.106,4.674,0.905,-1.0
2015/16_39,3.88,6.114,0.851,8.0
2016/17_39,2.34,3.522,0.905,-18.0
2017/18_39,4.186,5.617,0.946,5.0
2014/15_40,3.229,4.819,0.901,-1.0
2015/16_40,3.582,5.724,0.836,9.0
2016/17_40,2.914,4.266,0.903,-16.0
2017/18_40,4.421,7.573,0.952,5.0
2014/15_41,2.642,3.952,0.901,8.0
2015/16_41,5.04,5.969,0.87,12.0
2016/17_41,2.15,3.275,0.878,-16.0
2017/18_41,5.219,7.917,0.973,7.0
2014/15_42,1.781,2.628,0.91,8.0
2015/16_42,3.356,5.511,0.849,17.0
2016/17_42,2.394,3.63,0.912,-16.0
2017/18_42,3.884,5.748,0.97,6.0
2014/15_43,2.856,4.315,0.929,-1.0
2015/16_43,3.896,6.16,0.846,17.0
2016/17_43,2.664,3.94,0.926,-16.0
2017/18_43,4.384,6.759,0.952,6.0
2014/15_44,2.423,3.738,0.926,-1.0
2015/16_44,4.094,6.426,0.832,8.0
2016/17_44,2.723,4.04,0.921,-16.0
2017/18_44,4.566,7.312,0.958,6.0
2014/15_45,3.06,4.659,0.892,-2.0
2015/16_45,2.772,4.284,0.867,9.0
2016/17_45,2.011,3.031,0.882,-16.0
2017/18_45,6.35,8.289,0.898,7.0
2014/15_46,2.273,3.578,0.919,9.0
2015/16_46,3.167,5.043,0.862,9.0
2016/17_46,2.349,3.554,0.907,-16.0
2017/18_46,4.424,6.449,0.966,6.0
2014/15_47,2.501,3.877,0.932,-1.0
2015/16_47,2.872,4.527,0.841,17.0
2016/17_47,2.856,4.16,0.912,-16.0
2017/18_47,4.493,6.597,0.951,5.0
2014/15_48,1.837,2.92,0.92,-1.0
2015/16_48,3.336,5.447,0.875,9.0
2016/17_48,2.464,3.64,0.892,-16.0
2017/18_48,4.592,6.534,0.954,6.0
2014/15_49,2.462,3.233,0.914,-1.0
2015/16_49,2.654,3.718,0.847,-57.0
2016/17_49,1.939,2.991,0.914,-16.0
2017/18_49,4.842,6.805,0.945,7.0
2014/15_50,1.77,2.809,0.905,-11.0
2015/16_50,3.383,5.477,0.851,8.0
2016/17_50,2.02,3.165,0.901,-17.0
2017/18_50,4.513,5.44,0.948,-11.0
2014/15_51,2.311,3.538,0.921,-1.0
2015/16_51,4.108,6.293,0.887,9.0
2016/17_51,2.675,4.013,0.913,-16.0
2017/18_51,4.062,5.558,0.964,5.0
2014/15_52,3.621,5.424,0.902,-1.0
2015/16_52,3.606,5.85,0.851,17.0
2016/17_52,2.476,3.685,0.895,-16.0
2017/18_52,4.625,7.787,0.958,6.0
2014/15_53,3.105,4.426,0.906,-1.0
2015/16_53,5.061,6.237,0.842,11.0
2016/17_53,1.547,2.419,0.923,-12.0
2017/18_53,4.218,6.566,0.971,11.0
2014/15_54,3.834,5.533,0.916,-1.0
2015/16_54,3.205,5.092,0.866,9.0
2016/17_54,2.043,3.17,0.906,-16.0
2017/18_54,3.556,4.139,0.973,6.0
2014/15_55,2.794,4.209,0.904,-1.0
2015/16_55,3.629,5.825,0.825,-83.0
2016/17_55,2.68,3.931,0.91,-16.0
2017/18_55,4.407,6.279,0.967,6.0
2014/15_56,2.169,3.44,0.916,9.0
2015/16_56,4.532,6.929,0.85,17.0
2016/17_56,2.57,3.821,0.917,-16.0
2017/18_56,4.466,6.46,0.94,6.0
2014/15_57,1.622,2.292,0.931,-1.0
2015/16_57,3.321,4.317,0.848,-58.0
2016/17_57,1.778,2.819,0.902,-16.0
2017/18_57,5.079,6.851,0.948,5.0
2014/15_58,2.275,3.533,0.933,-1.0
2015/16_58,2.95,4.702,0.848,9.0
2016/17_58,2.062,3.182,0.916,-17.0
2017/18_58,4.186,5.188,0.958,5.0
2014/15_59,2.255,3.545,0.931,-1.0
2015/16_59,4.275,6.415,0.865,7.0
2016/17_59,2.63,3.909,0.914,-16.0
2017/18_59,4.383,5.898,0.946,5.0
2014/15_60,2.79,4.3,0.904,-1.0
2015/16_60,3.067,4.894,0.829,17.0
2016/17_60,2.916,4.278,0.894,-16.0
2017/18_60,4.516,6.773,0.96,5.0
2014/15_61,2.103,2.704,0.911,10.0
2015/16_61,2.47,3.623,0.853,-56.0
2016/17_61,1.525,2.266,0.902,-16.0
2017/18_61,3.951,4.639,0.976,6.0
2014/15_62,1.364,2.073,0.941,-1.0
2015/16_62,3.09,5.042,0.844,8.0
2016/17_62,2.164,3.323,0.907,-16.0
2017/18_62,3.866,5.058,0.961,6.0
2014/15_63,1.953,3.012,0.916,-1.0
2015/16_63,3.334,5.448,0.857,17.0
2016/17_63,2.59,3.821,0.895,-16.0
2017/18_63,4.526,6.576,0.956,6.0
2014/15_64,3.81,5.524,0.921,-1.0
2015/16_64,3.446,5.567,0.865,7.0
2016/17_64,2.876,4.272,0.907,-16.0
2017/18_64,4.134,6.286,0.964,6.0
2014/15_65,7.889,9.981,0.778,-3.0
2015/16_65,8.184,10.546,-0.693,-195.0
2016/17_65,5.654,7.517,0.835,-18.0
2017/18_65,10.596,17.768,0.829,17.0
2014/15_66,1.969,3.022,0.93,-1.0
2015/16_66,2.832,4.62,0.872,9.0
2016/17_66,1.642,2.574,0.898,-16.0
