,MAE,RMSE,R,Lag
2015/16_148,2.498,4.338,0.881,24.0
2016/17_148,1.45,1.972,0.928,-18.0
2017/18_148,3.006,4.175,0.978,10.0
2014/15_149,4.341,4.983,0.858,7.0
2015/16_149,3.616,4.785,0.831,17.0
2016/17_149,3.213,4.64,0.829,-11.0
2017/18_149,7.402,10.355,0.788,19.0
2014/15_150,1.747,2.502,0.925,-1.0
2015/16_150,2.605,4.222,0.889,17.0
2016/17_150,1.498,2.049,0.915,-19.0
2017/18_150,3.851,5.556,0.976,5.0
2014/15_151,1.511,2.257,0.93,-1.0
2015/16_151,2.387,3.794,0.881,10.0
2016/17_151,1.573,2.249,0.905,-19.0
2017/18_151,3.58,5.836,0.974,15.0
2014/15_152,1.53,2.313,0.926,-1.0
2015/16_152,2.382,4.051,0.878,-60.0
2016/17_152,1.507,2.038,0.921,-18.0
2017/18_152,2.965,4.009,0.98,7.0
2014/15_153,3.391,4.564,0.847,6.0
2015/16_153,7.239,8.638,0.82,12.0
2016/17_153,2.007,3.089,0.871,-17.0
2017/18_153,6.498,9.44,0.909,7.0
2014/15_154,1.55,2.066,0.946,-1.0
2015/16_154,2.271,3.489,0.898,9.0
2016/17_154,1.522,2.121,0.908,-19.0
2017/18_154,3.394,4.846,0.98,5.0
2014/15_155,1.427,2.184,0.937,-1.0
2015/16_155,2.444,4.131,0.876,24.0
2016/17_155,1.521,2.123,0.925,-18.0
2017/18_155,3.198,4.814,0.974,15.0
2014/15_156,1.571,2.423,0.929,-1.0
2015/16_156,2.43,4.085,0.88,-60.0
2016/17_156,1.479,2.042,0.923,-18.0
2017/18_156,2.849,4.229,0.975,15.0
2014/15_157,2.152,2.877,0.911,12.0
2015/16_157,2.777,4.496,0.839,8.0
2016/17_157,1.865,2.855,0.879,-17.0
2017/18_157,4.189,5.703,0.972,7.0
2014/15_158,1.509,2.169,0.935,6.0
2015/16_158,2.34,3.262,0.882,-59.0
2016/17_158,1.459,1.964,0.921,-18.0
2017/18_158,3.561,4.71,0.978,5.0
2014/15_159,1.42,2.108,0.939,-1.0
2015/16_159,2.377,3.765,0.888,-60.0
2016/17_159,1.417,1.92,0.926,-19.0
2017/18_159,3.658,5.689,0.973,5.0
2014/15_160,1.467,2.197,0.933,-1.0
2015/16_160,2.567,4.429,0.877,-60.0
2016/17_160,1.45,1.949,0.924,-19.0
2017/18_160,2.647,4.189,0.977,16.0
2014/15_161,4.214,5.644,0.88,7.0
2015/16_161,6.22,7.817,0.836,-57.0
2016/17_161,1.978,2.97,0.868,-12.0
2017/18_161,3.554,5.251,0.96,13.0
2014/15_162,1.611,2.233,0.938,-1.0
2015/16_162,2.557,4.096,0.892,17.0
2016/17_162,1.445,2.065,0.913,-18.0
2017/18_162,3.599,4.902,0.975,5.0
2014/15_163,1.554,2.414,0.927,-1.0
2015/16_163,2.487,4.104,0.876,-60.0
2016/17_163,1.49,2.044,0.927,-18.0
2017/18_163,3.758,5.64,0.966,5.0
2014/15_164,1.561,2.339,0.925,-1.0
2015/16_164,2.591,4.462,0.873,-60.0
2016/17_164,1.571,2.222,0.915,-19.0
2017/18_164,3.732,5.662,0.973,5.0
2014/15_165,2.949,4.408,0.863,-1.0
2015/16_165,2.579,3.605,0.865,-58.0
2016/17_165,1.914,2.871,0.908,-12.0
2017/18_165,3.986,4.814,0.961,17.0
2014/15_166,1.572,2.154,0.937,-1.0
2015/16_166,2.38,3.578,0.893,7.0
2016/17_166,1.422,1.974,0.921,-18.0
2017/18_166,3.891,5.417,0.968,5.0
2014/15_167,1.545,2.229,0.933,-1.0
2015/16_167,2.563,4.272,0.875,24.0
2016/17_167,1.498,2.072,0.926,-18.0
2017/18_167,3.953,6.373,0.97,5.0
2014/15_168,1.423,2.16,0.937,-1.0
2015/16_168,2.403,3.859,0.862,-60.0
2016/17_168,1.535,2.212,0.919,-18.0
2017/18_168,3.849,5.4,0.966,5.0
2014/15_169,2.082,2.711,0.911,7.0
2015/16_169,2.947,3.763,0.876,17.0
2016/17_169,1.536,2.199,0.924,-16.0
2017/18_169,4.563,6.37,0.96,6.0
2014/15_170,1.757,2.381,0.927,-1.0
2015/16_170,2.391,4.005,0.895,17.0
2016/17_170,1.565,2.143,0.909,-19.0
2017/18_170,2.874,3.941,0.98,5.0
2014/15_171,1.448,2.181,0.935,-1.0
2015/16_171,2.511,4.249,0.879,-60.0
2016/17_171,1.548,2.261,0.924,-18.0
2017/18_171,3.864,5.386,0.962,5.0
2014/15_172,1.615,2.533,0.924,-1.0
2015/16_172,2.497,4.1,0.876,-60.0
2016/17_172,1.538,2.186,0.928,-18.0
2017/18_172,3.23,4.598,0.975,6.0
2014/15_173,4.532,6.98,0.89,10.0
2015/16_173,2.707,4.387,0.894,9.0
2016/17_173,1.627,2.316,0.896,-18.0
2017/18_173,4.045,5.677,0.95,15.0
2014/15_174,1.631,2.517,0.924,-1.0
2015/16_174,2.575,4.059,0.891,17.0
2016/17_174,1.587,2.174,0.907,-19.0
2017/18_174,3.924,5.724,0.963,5.0
2014/15_175,1.473,2.295,0.933,-1.0
2015/16_175,2.326,3.679,0.868,-60.0
2016/17_175,1.503,2.025,0.924,-18.0
2017/18_175,3.793,5.248,0.968,5.0
2014/15_176,1.498,2.279,0.93,-1.0
2015/16_176,2.378,3.578,0.862,-59.0
2016/17_176,1.619,2.338,0.907,-19.0
2017/18_176,3.687,5.279,0.969,5.0
2014/15_177,1.998,2.73,0.898,-1.0
2015/16_177,3.353,5.486,0.883,8.0
2016/17_177,1.743,2.78,0.919,-15.0
2017/18_177,4.166,5.016,0.975,2.0
2014/15_178,1.697,2.344,0.933,-1.0
2015/16_178,2.457,3.696,0.888,17.0
2016/17_178,1.454,2.015,0.918,-17.0
2017/18_178,4.009,5.489,0.967,5.0
2014/15_179,1.626,2.251,0.931,-1.0
2015/16_179,2.499,4.009,0.879,-59.0
2016/17_179,1.687,2.305,0.909,-18.0
2017/18_179,3.606,5.689,0.97,16.0
2014/15_180,1.588,2.58,0.927,-1.0
2015/16_180,2.607,4.402,0.862,-60.0
2016/17_180,1.662,2.416,0.901,-19.0
2017/18_180,3.355,4.847,0.978,5.0
2014/15_181,2.466,3.863,0.918,7.0
2015/16_181,2.847,4.753,0.854,-57.0
2016/17_181,1.707,2.482,0.884,-11.0
2017/18_181,4.036,5.512,0.971,11.0
2014/15_182,1.674,2.224,0.941,-1.0
2015/16_182,2.34,3.752,0.893,-60.0
2016/17_182,1.548,2.15,0.907,-17.0
2017/18_182,3.805,5.226,0.969,5.0
2014/15_183,1.537,2.365,0.926,-1.0
2015/16_183,2.559,4.263,0.867,-59.0
2016/17_183,1.534,2.067,0.915,-18.0
2017/18_183,3.779,5.476,0.96,5.0
2014/15_184,1.644,2.65,0.93,-1.0
2015/16_184,2.538,4.25,0.848,-60.0
2016/17_184,1.577,2.234,0.926,-12.0
2017/18_184,3.608,5.134,0.97,5.0
2014/15_185,2.037,2.483,0.93,-10.0
2015/16_185,2.257,3.094,0.893,-58.0
2016/17_185,1.64,2.265,0.905,-17.0
2017/18_185,3.247,4.162,0.979,11.0
2014/15_186,1.632,2.284,0.929,6.0
2015/16_186,2.334,3.608,0.887,-60.0
2016/17_186,1.63,2.271,0.9,-18.0
2017/18_186,3.412,4.676,0.971,15.0
2014/15_187,1.444,2.184,0.935,-1.0
2015/16_187,2.655,4.577,0.875,24.0
2016/17_187,1.599,2.139,0.911,-18.0
2017/18_187,4.227,6.975,0.959,5.0
2014/15_188,1.69,2.685,0.924,-1.0
2015/16_188,2.554,4.09,0.861,-60.0
2016/17_188,1.631,2.388,0.917,-12.0
2017/18_188,3.215,4.573,0.978,5.0
2014/15_189,2.584,3.087,0.944,9.0
2015/16_189,2.411,3.677,0.909,7.0
2016/17_189,1.7,2.364,0.902,-17.0
2017/18_189,4.263,6.341,0.956,15.0
2014/15_190,1.657,2.281,0.936,7.0
2015/16_190,2.27,3.712,0.903,17.0
2016/17_190,1.473,2.05,0.913,-19.0
2017/18_190,3.912,5.356,0.968,5.0
2014/15_191,1.47,2.262,0.929,-1.0
2015/16_191,2.588,4.308,0.864,-60.0
2016/17_191,1.448,1.951,0.931,-18.0
2017/18_191,4.032,6.158,0.959,5.0
2014/15_192,1.535,2.461,0.928,-1.0
2015/16_192,2.351,3.85,0.881,-60.0
2016/17_192,1.596,2.315,0.917,-12.0
2017/18_192,3.278,4.645,0.977,5.0
2014/15_193,7.684,9.823,0.275,153.0
2015/16_193,7.773,10.219,0.811,11.0
2016/17_193,2.246,2.738,0.907,-9.0
2017/18_193,10.532,17.743,0.534,17.0
2014/15_194,1.609,2.421,0.919,-1.0
2015/16_194,2.529,3.521,0.877,24.0
2016/17_194,1.403,1.924,0.924,-18.0
2017/18_194,3.412,5.085,0.981,7.0
2014/15_195,1.376,2.066,0.942,-1.0
2015/16_195,2.316,3.9,0.886,24.0
2016/17_195,1.474,1.993,0.921,-19.0
2017/18_195,3.398,5.047,0.98,15.0
2014/15_196,1.55,2.243,0.931,-1.0
2015/16_196,2.281,3.72,0.897,-59.0
2016/17_196,1.419,1.947,0.927,-18.0
2017/18_196,3.124,4.81,0.979,15.0
2014/15_197,7.671,9.814,-0.629,-71.0
2015/16_197,3.957,5.987,0.867,25.0
2016/17_197,2.954,4.335,0.825,-9.0
2017/18_197,10.406,17.67,-0.621,143.0
2014/15_198,1.548,2.404,0.93,-1.0
2015/16_198,2.497,3.375,0.88,-59.0
2016/17_198,1.364,1.892,0.927,-19.0
2017/18_198,3.065,4.462,0.974,15.0
2014/15_199,1.409,2.042,0.945,-1.0
2015/16_199,2.372,3.903,0.882,-25.0
2016/17_199,1.426,1.985,0.926,-19.0
2017/18_199,3.522,5.021,0.976,15.0
2014/15_200,1.397,1.984,0.947,-1.0
2015/16_200,2.312,3.664,0.885,-25.0
2016/17_200,1.463,1.973,0.92,-18.0
2017/18_200,3.484,5.029,0.976,5.0
2014/15_201,6.858,9.155,0.793,11.0
2015/16_201,2.776,4.836,0.829,18.0
2016/17_201,3.069,4.339,0.897,-12.0
2017/18_201,6.251,10.014,0.871,17.0
2014/15_202,1.46,2.146,0.938,-1.0
2015/16_202,2.436,3.412,0.886,9.0
2016/17_202,1.359,1.827,0.935,-18.0
2017/18_202,2.974,4.248,0.974,15.0
2014/15_203,1.378,2.034,0.944,-1.0
2015/16_203,2.265,3.618,0.89,24.0
2016/17_203,1.391,1.849,0.932,-19.0
2017/18_203,2.737,3.652,0.979,15.0
2014/15_204,1.496,2.199,0.946,-1.0
2015/16_204,2.234,3.651,0.891,-25.0
2016/17_204,1.411,2.037,0.93,-18.0
2017/18_204,3.429,4.97,0.972,5.0
2014/15_205,2.562,3.712,0.881,7.0
2015/16_205,2.413,3.442,0.88,17.0
2016/17_205,2.654,3.955,0.911,-10.0
2017/18_205,3.77,5.637,0.926,15.0
2014/15_206,1.468,2.214,0.933,-1.0
2015/16_206,2.415,3.17,0.894,17.0
2016/17_206,1.321,1.757,0.937,-20.0
2017/18_206,2.993,4.311,0.98,5.0
2014/15_207,1.533,2.147,0.937,-1.0
2015/16_207,2.315,3.896,0.902,24.0
2016/17_207,1.439,1.969,0.921,-19.0
2017/18_207,3.162,4.551,0.976,15.0
2014/15_208,1.374,2.109,0.946,-1.0
2015/16_208,2.207,3.545,0.885,-60.0
2016/17_208,1.473,2.087,0.92,-19.0
2017/18_208,3.514,5.48,0.975,5.0
2014/15_209,2.41,3.24,0.909,7.0
2015/16_209,2.71,4.291,0.893,11.0
2016/17_209,2.112,3.082,0.886,-11.0
2017/18_209,10.504,17.727,-0.222,15.0
2014/15_210,1.582,2.437,0.92,-1.0
2015/16_210,2.528,3.86,0.881,9.0
2016/17_210,1.337,1.817,0.932,-20.0
2017/18_210,3.124,4.057,0.977,15.0
2014/15_211,1.516,2.362,0.937,-1.0
2015/16_211,2.343,3.978,0.901,-25.0
2016/17_211,1.391,1.943,0.93,-19.0
2017/18_211,3.582,4.953,0.972,5.0
2014/15_212,1.525,2.183,0.935,-1.0
2015/16_212,2.345,3.998,0.901,24.0
2016/17_212,1.402,1.916,0.93,-19.0
2017/18_212,3.505,5.293,0.973,5.0
2014/15_213,3.871,4.303,0.865,6.0
2015/16_213,2.921,4.227,0.845,25.0
2016/17_213,1.9,2.774,0.879,-12.0
2017/18_213,6.627,11.262,0.952,11.0
2014/15_214,1.617,2.446,0.922,-1.0
2015/16_214,2.434,3.634,0.884,-60.0
2016/17_214,1.348,1.837,0.931,-18.0
2017/18_214,2.828,3.501,0.98,15.0
2014/15_215,1.548,2.405,0.931,-1.0
2015/16_215,2.438,4.168,0.897,-25.0
2016/17_215,1.429,1.97,0.924,-18.0
2017/18_215,3.208,4.856,0.977,15.0
2014/15_216,1.608,2.353,0.929,-1.0
2015/16_216,2.06,3.333,0.908,-25.0
2016/17_216,1.549,2.107,0.908,-19.0
2017/18_216,3.534,4.614,0.974,7.0
2014/15_217,2.894,4.218,0.868,7.0
2015/16_217,3.22,5.194,0.849,9.0
2016/17_217,2.235,3.38,0.895,-12.0
2017/18_217,4.726,7.229,0.968,15.0
2014/15_218,1.515,2.399,0.921,-1.0
2015/16_218,2.312,3.594,0.895,9.0
2016/17_218,1.338,1.775,0.935,-18.0
2017/18_218,3.956,6.033,0.964,5.0
2014/15_219,1.434,2.125,0.939,-1.0
2015/16_219,2.353,3.896,0.894,-60.0
2016/17_219,1.444,1.95,0.922,-19.0
2017/18_219,3.669,5.286,0.97,15.0
2014/15_220,1.475,2.124,0.939,-1.0
2015/16_220,2.187,3.48,0.908,-25.0
2016/17_220,1.377,1.966,0.929,-19.0
2017/18_220,3.349,4.809,0.976,5.0
2014/15_221,1.807,2.483,0.918,-1.0
2015/16_221,2.506,3.941,0.852,9.0
2016/17_221,2.055,3.156,0.891,-16.0
2017/18_221,4.934,6.037,0.923,7.0
2014/15_222,1.529,2.319,0.926,-1.0
2015/16_222,2.293,3.617,0.891,9.0
2016/17_222,1.37,1.793,0.935,-18.0
2017/18_222,3.112,4.63,0.975,5.0
2014/15_223,1.425,2.122,0.938,-1.0
2015/16_223,2.211,3.577,0.901,24.0
2016/17_223,1.34,1.931,0.931,-19.0
2017/18_223,3.491,4.994,0.974,5.0
2014/15_224,1.401,2.08,0.943,-1.0
2015/16_224,2.208,3.374,0.887,-60.0
2016/17_224,1.359,2.01,0.934,-19.0
2017/18_224,3.539,5.178,0.978,10.0
2014/15_225,2.446,3.769,0.912,8.0
2015/16_225,3.427,5.529,0.864,11.0
2016/17_225,1.769,2.551,0.883,-10.0
2017/18_225,5.065,6.132,0.926,14.0
2014/15_226,1.53,2.453,0.921,-1.0
2015/16_226,2.412,3.825,0.893,-25.0
2016/17_226,1.367,1.854,0.932,-18.0
2017/18_226,2.786,3.622,0.979,16.0
2014/15_227,1.648,2.456,0.92,-1.0
2015/16_227,2.275,3.702,0.883,24.0
2016/17_227,1.427,1.968,0.927,-19.0
2017/18_227,3.612,5.618,0.975,5.0
2014/15_228,1.545,2.253,0.931,-1.0
2015/16_228,2.328,3.609,0.892,24.0
2016/17_228,1.526,2.149,0.914,-19.0
2017/18_228,3.87,6.296,0.977,5.0
2014/15_229,2.584,3.396,0.916,9.0
2015/16_229,2.611,4.16,0.824,18.0
2016/17_229,1.862,2.921,0.921,-12.0
2017/18_229,3.502,5.88,0.967,5.0
2014/15_230,1.523,2.352,0.925,-1.0
2015/16_230,2.343,3.406,0.89,17.0
2016/17_230,1.38,1.84,0.931,-20.0
2017/18_230,2.659,3.619,0.976,16.0
2014/15_231,1.709,2.795,0.926,-1.0
2015/16_231,2.465,4.198,0.894,-60.0
2016/17_231,1.36,1.871,0.934,-19.0
2017/18_231,3.537,5.518,0.977,5.0
2014/15_232,1.57,2.225,0.933,-1.0
2015/16_232,2.222,3.443,0.891,24.0
2016/17_232,1.512,2.236,0.927,-18.0
2017/18_232,3.482,5.025,0.973,5.0
2014/15_233,1.713,2.378,0.927,-10.0
2015/16_233,3.087,5.112,0.859,11.0
2016/17_233,1.428,2.208,0.919,-17.0
2017/18_233,4.728,5.93,0.962,7.0
2014/15_234,1.529,2.353,0.936,-1.0
2015/16_234,2.382,3.504,0.89,11.0
2016/17_234,1.361,1.829,0.932,-20.0
2017/18_234,3.601,5.506,0.964,5.0
2014/15_235,1.529,2.381,0.924,-1.0
2015/16_235,2.379,3.792,0.893,24.0
2016/17_235,1.401,1.89,0.93,-19.0
2017/18_235,3.111,4.239,0.98,5.0
2014/15_236,1.534,2.355,0.926,-1.0
2015/16_236,2.413,4.063,0.901,24.0
2016/17_236,1.568,2.163,0.92,-18.0
2017/18_236,3.484,4.618,0.976,5.0
2014/15_237,2.597,3.446,0.906,-11.0
2015/16_237,2.81,4.665,0.897,9.0
2016/17_237,1.608,2.255,0.92,-18.0
2017/18_237,4.14,5.932,0.959,5.0
2014/15_238,1.474,2.133,0.938,-1.0
2015/16_238,2.316,3.755,0.902,-25.0
2016/17_238,1.29,1.678,0.943,-20.0
2017/18_238,3.014,4.197,0.978,15.0
2014/15_239,1.432,2.272,0.931,-1.0
2015/16_239,2.255,3.651,0.895,24.0
2016/17_239,1.446,2.019,0.932,-19.0
2017/18_239,3.327,4.469,0.977,15.0
2014/15_240,1.488,2.152,0.938,-1.0
2015/16_240,2.336,3.631,0.883,-60.0
2016/17_240,1.495,2.08,0.914,-18.0
2017/18_240,3.54,5.168,0.975,5.0
2014/15_241,2.351,2.803,0.91,6.0
2015/16_241,2.483,3.974,0.898,25.0
2016/17_241,1.483,2.103,0.911,-16.0
2017/18_241,3.627,4.338,0.975,5.0
2014/15_242,1.524,2.487,0.922,-1.0
2015/16_242,2.478,3.288,0.885,9.0
2016/17_242,1.405,1.913,0.926,-18.0
2017/18_242,3.459,4.306,0.977,5.0
2014/15_243,1.546,2.406,0.927,-1.0
2015/16_243,2.312,3.855,0.891,24.0
2016/17_243,1.48,1.959,0.924,-19.0
2017/18_243,3.491,5.155,0.978,5.0
2014/15_244,1.505,2.212,0.934,-1.0
2015/16_244,2.6,3.458,0.868,-60.0
2016/17_244,1.464,2.14,0.923,-19.0
2017/18_244,3.771,5.804,0.971,5.0
2014/15_245,2.884,3.606,0.92,9.0
2015/16_245,3.271,5.243,0.915,8.0
2016/17_245,1.571,2.321,0.914,-9.0
2017/18_245,5.104,8.956,0.966,15.0
2014/15_246,1.534,2.352,0.925,-1.0
2015/16_246,2.489,3.76,0.891,17.0
2016/17_246,1.482,1.993,0.919,-18.0
2017/18_246,3.541,4.961,0.971,5.0
2014/15_247,1.546,2.283,0.929,-1.0
2015/16_247,2.331,3.933,0.887,-60.0
2016/17_247,1.499,2.01,0.925,-19.0
2017/18_247,3.26,4.686,0.975,5.0
2014/15_248,1.45,2.126,0.938,-1.0
2015/16_248,2.477,3.829,0.883,24.0
2016/17_248,1.487,2.043,0.918,-18.0
2017/18_248,3.908,5.587,0.956,5.0
2014/15_249,2.2,3.033,0.891,5.0
2015/16_249,2.513,4.232,0.87,25.0
2016/17_249,1.432,1.992,0.918,-10.0
2017/18_249,3.84,5.318,0.959,15.0
2014/15_250,1.496,2.161,0.937,-1.0
2015/16_250,2.299,3.831,0.895,24.0
2016/17_250,1.43,1.979,0.923,-20.0
2017/18_250,3.051,4.139,0.976,15.0
2014/15_251,1.554,2.473,0.933,-1.0
2015/16_251,2.458,4.272,0.886,24.0
2016/17_251,1.512,2.098,0.927,-19.0
2017/18_251,3.257,3.99,0.976,5.0
2014/15_252,1.566,2.298,0.929,-1.0
2015/16_252,2.427,3.931,0.887,24.0
2016/17_252,1.651,2.155,0.909,-18.0
2017/18_252,3.63,5.456,0.979,5.0
2014/15_253,1.713,2.4,0.922,6.0
2015/16_253,2.354,3.131,0.897,-57.0
2016/17_253,1.613,2.184,0.907,-17.0
2017/18_253,3.576,5.805,0.964,15.0
2014/15_254,1.494,2.388,0.924,-1.0
2015/16_254,2.404,3.159,0.893,17.0
2016/17_254,1.393,1.847,0.932,-18.0
2017/18_254,3.581,5.702,0.952,5.0
2014/15_255,1.541,2.458,0.933,-1.0
2015/16_255,2.25,3.744,0.896,24.0
2016/17_255,1.499,2.058,0.924,-20.0
2017/18_255,3.359,5.002,0.975,5.0
2014/15_256,1.67,2.575,0.927,-1.0
2015/16_256,2.336,3.847,0.893,-25.0
2016/17_256,1.691,2.192,0.906,-19.0
2017/18_256,3.633,5.472,0.978,5.0
Average,2.997,4.434,0.884,17.0
