,2014/15_0,2015/16_0,2016/17_0,2017/18_0,2014/15_1,2015/16_1,2016/17_1,2017/18_1,2014/15_2,2015/16_2,2016/17_2,2017/18_2,2014/15_3,2015/16_3
MAE,2.2748284257485967,2.2963341182751265,2.271566947263877,4.398448237972458,3.2879081819200153,2.313302620791258,1.8060156349812713,3.5584547102334287,2.1753220961533084,2.40436227996163,2.052129401127333,5.192743377448089,1.9072158871077793,2.4693745176576605
RMSE,3.3487806811854504,3.4019526145706696,3.2912470375441005,7.892995466579112,4.623513766041047,3.0819370348572748,2.6579592317461733,6.327821894108604,2.947764134378019,3.3765444248084133,2.913303739686117,9.889294550297997,2.883905535769585,3.496027055920805
R,0.8666449034419853,0.8759193673128779,0.821523389345207,0.9608296023693277,0.8752274808801421,0.9247846778891996,0.8650901081577584,0.9458390202041798,0.9054586281724467,0.8668672889708879,0.8253522959518933,0.9543682826163175,0.9122927670877798,0.8634807038615183
Lag,-1.0,26.0,-26.0,9.0,-1.0,-54.0,-9.0,5.0,-1.0,12.0,-7.0,10.0,-3.0,25.0
