,MAE,RMSE,R,Lag
2014/15,7.802,9.916,0.052,23.0
2015/16,8.167,10.527,0.128,-46.0
2016/17,5.88,7.729,0.387,-2.0
2017/18,10.988,18.005,0.701,20.0
Average,8.209,11.544,0.317,23.0
