,MAE,RMSE,R,Lag
2014/15,2.044,3.449,0.881,21.0
2015/16,2.087,3.381,0.92,21.0
2016/17,1.724,2.188,0.907,-18.0
2017/18,3.991,6.466,0.951,-9.0
Average,2.461,3.871,0.915,17.0
