,Fold1,Fold2,Fold3,Fold4
loss,2.8415833532699764,2.978536342601792,3.5802683118429495,2.6602624019390437
mae,2.841583251953125,2.9785361289978027,3.580268383026123,2.6602623462677
mse,79.89163970947266,57.369075775146484,95.60309600830078,63.83958053588867
rmse,8.305325508117676,7.629006385803223,9.71568489074707,7.956638336181641
pearson,0.8155854940414429,0.8186926245689392,0.6594642996788025,0.8141190409660339
val_loss,2.071472406387329,2.4825663566589355,1.7645593881607056,3.0888071060180664
val_mae,2.071472406387329,2.4825663566589355,1.7645593881607056,3.0888071060180664
val_mse,9.447651863098145,11.298837661743164,5.394296646118164,30.35079002380371
val_rmse,3.0737032890319824,3.3613743782043457,2.3225624561309814,5.5091552734375
val_pearson,0.8755994439125061,0.8687580823898315,0.8872482776641846,0.9565082788467407
