,MAE,RMSE,R,Lag
2014/15,2.77,3.817,0.871,6.0
2015/16,3.052,4.401,0.862,25.0
2016/17,2.486,2.734,0.919,-11.0
2017/18,5.024,8.505,0.913,17.0
Average,3.333,4.864,0.892,15.0
